!# Results of ROTMAS saved at 12-May-2008 (13:40:38)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 298.486
!# Red. Chi-square (N=288,n=2) : 1.043659
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     1.488780   152.768997     0.710000     1.000000 
!# Parameter error :     0.041382     7.504510     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06252    -0.878   4.22432         0      1.98     6.926   3.28582   5.27926         0         0   
    0.125    -1.771    9.7424         0     15.78     7.691   6.55916   11.6104         0         0   
   0.1876     -2.74   15.9397         0      22.3     4.584   9.81819   18.5193         0         0   
   0.2501    -3.448   21.3898         0     32.16     4.542   13.0417   24.8137         0         0   
   0.3126    -3.847   25.9023         0     39.67     4.433   16.2256   30.3216         0         0   
   0.3751    -3.736   30.0787         0     46.24     4.892   19.3615   35.5758         0         0   
   0.4377    -3.329   33.6938         0     53.31     5.425   22.4467    40.349         0         0   
   0.5002    -3.488   36.6641         0     59.93     5.252   25.4645   44.5032         0         0   
   0.5627    -3.553   38.9714         0     63.97     4.703   28.4142    48.099         0         0   
   0.6252    -3.157   40.7461         0     67.31     4.833   31.2909   51.2776         0         0   
   0.6878    -2.552   42.0473         0     71.34     5.217   34.0953   54.0736         0         0   
   0.7503     -1.75   43.3712         0     75.57     5.835   36.8155   56.8628         0         0   
   0.8128    -1.157   44.6012         0     77.88     5.215    39.454   59.5361         0         0   
   0.8753    0.9515   45.6555         0     78.48     4.769   42.0096   62.0495         0         0   
   0.9379     1.491   46.4976         0     79.11     4.473   44.4857   64.3679         0         0   
        1     -1.75   47.1951         0     79.94     4.478   46.8594    66.484         0         0   
    1.063    -3.049     47.94         0     78.37     4.277   49.1841    68.615         0         0   
    1.125    -3.095    48.693         0     78.17     5.311   51.3909    70.728         0         0   
    1.188    -2.711   49.5515         0     80.29     5.612   53.5526   72.9101         0         0   
     1.25    -1.524   50.6315         0     81.05     4.532   55.6023   75.1854         0         0   
    1.313     2.252   51.8795         0     82.24     4.249   57.6082   77.5581         0         0   
    1.376     4.243   53.0996         0     84.09     4.042   59.5388   79.8902         0         0   
    1.438     5.631   54.1408         0     84.33     4.746   61.3677   82.0301         0         0   
    1.501     5.952   54.7036         0     85.52     5.536   63.1563   83.7653         0         0   
    1.563      5.54   55.2491         0     87.43     6.061   64.8504    85.374         0         0   
    1.626     4.284   55.6126         0      89.9     6.303    66.507   86.8003         0         0   
    1.688     1.864   55.8645         0     91.76      6.55   68.0762   88.0834         0         0   
    1.751    -1.383   56.1029         0     93.15     6.431    69.611   89.3942         0         0   
    1.813     3.054   56.2429         0     93.87     6.196   71.0652   90.6799         0         0   
    1.876     4.459   56.4587         0     94.41     5.643    72.488    91.989         0         0   
    1.938     4.357   56.8024         0     95.31     5.843   73.8367   93.2596         0         0   
    2.001     4.822   56.9604         0     96.72     5.987    75.157   94.4262         0         0   
    2.063     5.207   57.0022         0     98.01      5.72   76.4091    95.471         0         0   
    2.126     4.209    57.121         0     97.78     6.124   77.6356    96.477         0         0   
    2.188     2.869   57.1219         0     98.34     6.088   78.7995   97.3679         0         0   
    2.251    0.8887   57.4277         0     96.17     5.947   79.9404   98.4337         0         0   
    2.313    -2.144   57.6992         0     96.39     6.168   81.0238   99.4458         0         0   
    2.376    -2.411   57.8036         0     98.41     5.719   82.0866   100.368         0         0   
    2.438    -3.313   58.0199         0     98.95      5.65   83.0965   101.293         0         0   
    2.501    -3.768   58.2623         0     97.96     5.947   84.0879    102.23         0         0   
    2.563    -1.335   58.3283         0     98.02     5.535   85.0307   103.105         0         0   
    2.626     3.758   58.5521         0     97.81     5.436   85.9569   104.072         0         0   
    2.689      4.56   58.7622         0     98.59      4.98   86.8524   104.963         0         0   
    2.751     4.388   59.0521         0     99.98      4.97    87.705   105.823         0         0   
    2.814     2.929   59.5361         0     99.95     5.133   88.5436   106.738         0         0   
    2.876     -3.21   60.0904         0       100     4.688   89.3427   107.623         0         0   
    2.939     -4.77   60.4337         0     100.5     4.215   90.1291    108.41         0         0   
    3.001    -5.367   60.8207         0     101.5      3.98    90.879   109.222         0         0   
    3.064    -5.373   61.2036         0     102.3     4.451   91.6177   110.049         0         0   
    3.126    -4.263   61.5798         0     103.4     4.389   92.3226   110.893         0         0   
    3.189     2.225   61.9089         0     104.1      4.25   93.0174   111.758         0         0   
    3.251     5.319   62.2415         0     104.8     4.151   93.6809   112.598         0         0   
    3.314      7.78   62.7367         0       106     4.658   94.3354   113.559         0         0   
    3.376     9.963   63.1344         0     107.8     5.368   94.9608   114.467         0         0   
    3.439     12.08   63.5556         0     108.8     5.801   95.5782   115.414         0         0   
    3.501     14.33   63.8602         0       110     5.913   96.1686   116.327         0         0   
    3.564     16.21   64.0263         0     110.8     5.957   96.7517   117.145         0         0   
    3.626      17.4   64.0317         0     111.9     6.024   97.3098    117.78         0         0   
    3.689     17.95   63.7747         0     113.2     6.022   97.8613   118.179         0         0   
    3.751     18.05   63.4991         0     114.3     5.968   98.3895   118.484         0         0   
    3.814        18   63.1557         0     114.8     5.845   98.9118   118.727         0         0   
    3.877     17.95    62.712         0     115.8     5.533   99.4203   118.909         0         0   
    3.939     17.97   62.2444         0     116.3      5.87   99.9076   119.075         0         0   
    4.002     18.19   61.7213         0     116.7     5.649    100.39   119.242         0         0   
    4.064      18.4   61.4341         0     117.2     5.172   100.853   119.516         0         0   
    4.127     18.73   61.1039         0     117.5     5.133   101.311   119.785         0         0   
    4.189     19.29   60.8279         0     118.3     5.236   101.751   120.105         0         0   
    4.252     20.02   60.6261         0     119.1     5.377   102.186   120.492         0         0   
    4.314     20.62   60.3177         0     119.2     5.942   102.605   120.794         0         0   
    4.377     21.05   59.7913         0     119.5     6.878    103.02   120.959         0         0   
    4.439     21.34   59.5522         0     120.6     7.367   103.418   121.232         0         0   
    4.502      21.3   59.1886         0     120.4     7.718   103.814   121.385         0         0   
    4.564     21.41   58.7686         0     120.5     7.834   104.194   121.526         0         0   
    4.627     21.91   58.4066         0     121.2     7.553   104.571   121.764         0         0   
    4.689     22.39   57.9288         0     121.4     7.463   104.934   121.935         0         0   
    4.752     22.25   57.6028         0     121.7     6.861   105.294   122.065         0         0   
    4.814     21.82   57.3186         0     122.2     6.338    105.64   122.153         0         0   
    4.877     22.14   57.0857         0     122.7     6.054   105.985     122.4         0         0   
    4.939     22.95    56.846         0     123.5      5.87   106.316   122.724         0         0   
    5.002     23.44   56.4893         0     124.4     5.873   106.645   122.938         0         0   
    5.064     23.72   56.1906         0     125.1     5.817   106.962    123.13         0         0   
    5.127     24.13   55.9578         0     125.9     5.933   107.278   123.378         0         0   
     5.19     24.52   55.6426         0     125.9     6.142   107.587   123.581         0         0   
    5.252     24.58   55.3621         0     126.1     6.468   107.884   123.726         0         0   
    5.315     24.42   55.0236         0     125.8     6.591    108.18   123.802         0         0   
    5.377     24.57   54.7354         0     126.1     6.455   108.465   123.953         0         0   
     5.44     24.78   54.6301         0     126.3      6.02   108.749   124.197         0         0   
    5.502     24.64   54.2556         0     125.9     5.658   109.023   124.245         0         0   
    5.565     24.61   53.9161         0     125.4     5.887   109.296   124.331         0         0   
    5.627     24.71   53.8042         0       126     5.944   109.559   124.533         0         0   
     5.69     24.58   53.6024         0       126     5.919   109.821   124.652         0         0   
    5.752     24.42   53.3724         0     125.5     5.909   110.074   124.744         0         0   
    5.815     24.33   53.4165         0     125.1     5.917   110.326   124.968         0         0   
    5.877     24.33   53.3802         0     125.4     5.576   110.569   125.168         0         0   
     5.94     24.55   53.1334         0     125.7     5.371   110.812    125.32         0         0   
    6.002     24.74   52.9405         0     125.9     5.086   111.046   125.483         0         0   
    6.065     24.72   52.6193         0     126.9     4.891   111.279   125.551         0         0   
    6.127     24.84   52.3499         0     127.4     4.766   111.505   125.662         0         0   
     6.19     25.22    52.159         0       127     4.889    111.73   125.858         0         0   
    6.252     25.49   51.9765         0     127.5     4.936   111.948    126.03         0         0   
    6.315     25.55   51.8121         0     128.1     4.844   112.165   126.168         0         0   
    6.377     25.73   51.6287         0     128.6     4.853   112.375   126.316         0         0   
     6.44     25.95   51.4673         0     128.1     4.911   112.584   126.481         0         0   
    6.503     25.94   51.2892         0     127.3     4.831    112.79    126.59         0         0   
    6.565     25.83   51.1771         0       127     4.735   112.989     126.7         0         0   
    6.628     25.74   51.0992         0     126.6     4.931   113.188   126.827         0         0   
     6.69     25.58   50.9125         0     126.7      4.76    113.38   126.891         0         0   
    6.753      25.4   50.6367         0     126.8     4.815   113.572   126.916         0         0   
    6.815      25.5   50.5609         0     126.7     4.774   113.758   127.073         0         0   
    6.878     25.78   50.5332         0     126.8     4.638   113.943   127.284         0         0   
     6.94     26.17    50.441         0     126.8     4.775   114.123   127.488         0         0   
    7.003     26.53   50.2732         0     126.9     4.565   114.303   127.657         0         0   
    7.065     26.81   50.0646         0     126.5     4.618   114.476   127.789         0         0   
    7.128      27.1   49.7268         0       126     4.804    114.65   127.874         0         0   
     7.19     27.48   49.6677         0     126.3     4.816   114.819   128.083         0         0   
    7.253     27.86   49.6688         0     126.7     4.753   114.987   128.317         0         0   
    7.315     28.21   49.4032         0     126.2     4.775    115.15   128.437         0         0   
    7.378     28.52   49.3716         0     126.1     4.523   115.313   128.639         0         0   
     7.44     28.78   49.2601         0     126.4     4.326   115.471   128.796         0         0   
    7.503     28.93   48.9695         0     126.6     4.346   115.629   128.861         0         0   
    7.565     29.07    48.792         0     127.1     4.361   115.782   128.962         0         0   
    7.628     29.09   48.5021         0     127.7     4.569   115.936   128.995         0         0   
     7.69     29.09   48.2772         0     128.1     4.667   116.084   129.044         0         0   
