!# Results of ROTMAS saved at 13-Oct-2007 (11:46:33)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 158.738
!# Red. Chi-square (N=288,n=3) : 0.556977
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     3.761450    28.590401     1.579930     1.000000 
!# Parameter error :     0.153597     1.909486     0.037342     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06252    -0.878   6.30154         0      1.98     6.926    1.4221   6.40007         0         0   
    0.125    -1.771    14.533         0     15.78     7.691   2.84258   14.7021         0         0   
   0.1876     -2.74   23.7778         0      22.3     4.584   4.26438   24.0012         0         0   
   0.2501    -3.448   31.9077         0     32.16     4.542   5.68179   32.2257         0         0   
   0.3126    -3.847   38.6392         0     39.67     4.433    7.0964   39.0967         0         0   
   0.3751    -3.736   44.8692         0     46.24     4.892   8.50753   45.5155         0         0   
   0.4377    -3.329    50.262         0     53.31     5.425   9.91674   51.1227         0         0   
   0.5002    -3.488   54.6929         0     59.93     5.252   11.3189   55.7428         0         0   
   0.5627    -3.553   58.1348         0     63.97     4.703   12.7155    59.403         0         0   
   0.6252    -3.157   60.7821         0     67.31     4.833   14.1061   62.3175         0         0   
   0.6878    -2.552   62.7232         0     71.34     5.217   15.4921   64.5577         0         0   
   0.7503     -1.75   64.6981         0     75.57     5.835   16.8687   66.8381         0         0   
   0.8128    -1.157   66.5329         0     77.88     5.215   18.2373   68.9774         0         0   
   0.8753    0.9515   68.1056         0     78.48     4.769   19.5975   70.8755         0         0   
   0.9379     1.491   69.3618         0     79.11     4.473    20.951   72.4722         0         0   
        1     -1.75   70.4023         0     79.94     4.478   22.2842   73.8242         0         0   
    1.063    -3.049   71.5134         0     78.37     4.277   23.6267   75.2535         0         0   
    1.125    -3.095   72.6368         0     78.17     5.311   24.9376    76.736         0         0   
    1.188    -2.711   73.9174         0     80.29     5.612   26.2587   78.3961         0         0   
     1.25    -1.524   75.5284         0     81.05     4.532   27.5477   80.3809         0         0   
    1.313     2.252   77.3902         0     82.24     4.249   28.8459    82.622         0         0   
    1.376     4.243   79.2101         0     84.09     4.042   30.1318   84.8539         0         0   
    1.438     5.631   80.7634         0     84.33     4.746   31.3852   86.8301         0         0   
    1.501     5.952   81.6029         0     85.52     5.536   32.6461   88.0921         0         0   
    1.563      5.54   82.4166         0     87.43     6.061   33.8743   89.2786         0         0   
    1.626     4.284   82.9589         0      89.9     6.303   35.1091   90.1841         0         0   
    1.688     1.864   83.3347         0     91.76      6.55    36.311   90.9211         0         0   
    1.751    -1.383   83.6903         0     93.15     6.431   37.5188    91.705         0         0   
    1.813     3.054   83.8991         0     93.87     6.196   38.6938   92.4424         0         0   
    1.876     4.459    84.221         0     94.41     5.643   39.8738   93.2897         0         0   
    1.938     4.357   84.7337         0     95.31     5.843   41.0212   94.2418         0         0   
    2.001     4.822   84.9695         0     96.72     5.987    42.173   94.9822         0         0   
    2.063     5.207   85.0318         0     98.01      5.72   43.2924   95.5602         0         0   
    2.126     4.209   85.2089         0     97.78     6.124   44.4156   96.1822         0         0   
    2.188     2.869   85.2103         0     98.34     6.088   45.5068   96.6431         0         0   
    2.251    0.8887   85.6665         0     96.17     5.947   46.6011   97.5254         0         0   
    2.313    -2.144   86.0715         0     96.39     6.168    47.664   98.3644         0         0   
    2.376    -2.411   86.2272         0     98.41     5.719   48.7295   99.0146         0         0   
    2.438    -3.313     86.55         0     98.95      5.65    49.764   99.7817         0         0   
    2.501    -3.768   86.9115         0     97.96     5.947   50.8009   100.599         0         0   
    2.563    -1.335   87.0099         0     98.02     5.535   51.8072   101.257         0         0   
    2.626     3.758   87.3439         0     97.81     5.436   52.8155    102.14         0         0   
    2.689      4.56   87.6572         0     98.59      4.98   53.8095   102.957         0         0   
    2.751     4.388   88.0896         0     99.98      4.97   54.7738   103.823         0         0   
    2.814     2.929   88.8116         0     99.95     5.133   55.7398   104.895         0         0   
    2.876     -3.21   89.6386         0       100     4.688   56.6767   106.005         0         0   
    2.939     -4.77   90.1507         0     100.5     4.215    57.615   106.883         0         0   
    3.001    -5.367    90.728         0     101.5      3.98    58.525   107.833         0         0   
    3.064    -5.373   91.2991         0     102.3     4.451   59.4361   108.809         0         0   
