!# Results of ROTMAS saved at 12-May-2008 (13:41:59)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 166.983
!# Red. Chi-square (N=288,n=2) : 0.583856
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    12.381400   101.730003     0.710000     1.000000 
!# Parameter error :     0.197601     0.724853     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06252    -0.878   4.22432         0      1.98     6.926   14.7467   15.3147         0         0   
    0.125    -1.771    9.7424         0     15.78     7.691   20.7732   22.8758         0         0   
   0.1876     -2.74   15.9397         0      22.3     4.584   25.3531   29.8219         0         0   
   0.2501    -3.448   21.3898         0     32.16     4.542   29.1642   36.0025         0         0   
   0.3126    -3.847   25.9023         0     39.67     4.433   32.4843   41.3686         0         0   
   0.3751    -3.736   30.0787         0     46.24     4.892   35.4525   46.3427         0         0   
   0.4377    -3.329   33.6938         0     53.31     5.425   38.1559   50.7943         0         0   
   0.5002    -3.488   36.6641         0     59.93     5.252   40.6402   54.6234         0         0   
   0.5627    -3.553   38.9714         0     63.97     4.703   42.9477   57.8849         0         0   
   0.6252    -3.157   40.7461         0     67.31     4.833   45.1063    60.703         0         0   
   0.6878    -2.552   42.0473         0     71.34     5.217   47.1401   63.1162         0         0   
   0.7503     -1.75   43.3712         0     75.57     5.835    49.059   65.4583         0         0   
   0.8128    -1.157   44.6012         0     77.88     5.215   50.8795   67.6509         0         0   
   0.8753    0.9515   45.6555         0     78.48     4.769   52.6121   69.6661         0         0   
   0.9379     1.491   46.4976         0     79.11     4.473   54.2685   71.4795         0         0   
        1     -1.75   47.1951         0     79.94     4.478   55.8407   73.0924         0         0   
    1.063    -3.049     47.94         0     78.37     4.277   57.3699   74.7011         0         0   
    1.125    -3.095    48.693         0     78.17     5.311   58.8156   76.2935         0         0   
    1.188    -2.711   49.5515         0     80.29     5.612    60.229   77.9457         0         0   
     1.25    -1.524   50.6315         0     81.05     4.532   61.5694   79.6995         0         0   
    1.313     2.252   51.8795         0     82.24     4.249   62.8837   81.5531         0         0   
    1.376     4.243   53.0996         0     84.09     4.042   64.1531   83.3857         0         0   
    1.438     5.631   54.1408         0     84.33     4.746   65.3613    85.059         0         0   
    1.501     5.952   54.7036         0     85.52     5.536     66.55   86.3528         0         0   
    1.563      5.54   55.2491         0     87.43     6.061   67.6837   87.5456         0         0   
    1.626     4.284   55.6126         0      89.9     6.303    68.801   88.5703         0         0   
    1.688     1.864   55.8645         0     91.76      6.55   69.8684   89.4758         0         0   
    1.751    -1.383   56.1029         0     93.15     6.431    70.922   90.4188         0         0   
    1.813     3.054   56.2429         0     93.87     6.196   71.9299   91.3592         0         0   
    1.876     4.459   56.4587         0     94.41     5.643   72.9262   92.3347         0         0   
    1.938     4.357   56.8024         0     95.31     5.843   73.8804   93.2942         0         0   
    2.001     4.822   56.9604         0     96.72     5.987   74.8248    94.162         0         0   
    2.063     5.207   57.0022         0     98.01      5.72   75.7303   94.9286         0         0   
    2.126     4.209    57.121         0     97.78     6.124   76.6273   95.6674         0         0   
    2.188     2.869   57.1219         0     98.34     6.088   77.4882   96.3097         0         0   
    2.251    0.8887   57.4277         0     96.17     5.947   78.3419     97.14         0         0   
    2.313    -2.144   57.6992         0     96.39     6.168   79.1619   97.9347         0         0   
    2.376    -2.411   57.8036         0     98.41     5.719   79.9757   98.6486         0         0   
    2.438    -3.313   58.0199         0     98.95      5.65    80.758   99.3841         0         0   
    2.501    -3.768   58.2623         0     97.96     5.947    81.535   100.141         0         0   
    2.563    -1.335   58.3283         0     98.02     5.535   82.2824    100.85         0         0   
    2.626     3.758   58.5521         0     97.81     5.436   83.0252   101.664         0         0   
    2.689      4.56   58.7622         0     98.59      4.98   83.7517   102.412         0         0   
    2.751     4.388   59.0521         0     99.98      4.97   84.4513   103.143         0         0   
    2.814     2.929   59.5361         0     99.95     5.133   85.1472   103.938         0         0   
    2.876     -3.21   60.0904         0       100     4.688   85.8177   104.715         0         0   
    2.939     -4.77   60.4337         0     100.5     4.215   86.4849     105.4         0         0   
    3.001    -5.367   60.8207         0     101.5      3.98   87.1282   106.121         0         0   
    3.064    -5.373   61.2036         0     102.3     4.451   87.7686   106.866         0         0   
    3.126    -4.263   61.5798         0     103.4     4.389   88.3863   107.638         0         0   
    3.189     2.225   61.9089         0     104.1      4.25   89.0016   108.439         0         0   
    3.251     5.319   62.2415         0     104.8     4.151   89.5953   109.223         0         0   
    3.314      7.78   62.7367         0       106     4.658    90.187   110.137         0         0   
    3.376     9.963   63.1344         0     107.8     5.368   90.7581   111.006         0         0   
    3.439     12.08   63.5556         0     108.8     5.801   91.3274   111.919         0         0   
    3.501     14.33   63.8602         0       110     5.913   91.8773   112.805         0         0   
    3.564     16.21   64.0263         0     110.8     5.957   92.4256   113.599         0         0   
    3.626      17.4   64.0317         0     111.9     6.024   92.9553   114.208         0         0   
    3.689     17.95   63.7747         0     113.2     6.022   93.4838    114.58         0         0   
    3.751     18.05   63.4991         0     114.3     5.968   93.9944    114.86         0         0   
    3.814        18   63.1557         0     114.8     5.845   94.5041   115.081         0         0   
    3.877     17.95    62.712         0     115.8     5.533   95.0046   115.243         0         0   
    3.939     17.97   62.2444         0     116.3      5.87   95.4885   115.392         0         0   
    4.002     18.19   61.7213         0     116.7     5.649   95.9716   115.546         0         0   
    4.064      18.4   61.4341         0     117.2     5.172   96.4388   115.815         0         0   
    4.127     18.73   61.1039         0     117.5     5.133   96.9054   116.083         0         0   
    4.189     19.29   60.8279         0     118.3     5.236   97.3567   116.406         0         0   
    4.252     20.02   60.6261         0     119.1     5.377   97.8076   116.802         0         0   
    4.314     20.62   60.3177         0     119.2     5.942   98.2438   117.112         0         0   
    4.377     21.05   59.7913         0     119.5     6.878   98.6797   117.285         0         0   
    4.439     21.34   59.5522         0     120.6     7.367   99.1015   117.571         0         0   
    4.502      21.3   59.1886         0     120.4     7.718   99.5231   117.736         0         0   
    4.564     21.41   58.7686         0     120.5     7.834   99.9313   117.891         0         0   
    4.627     21.91   58.4066         0     121.2     7.553   100.339    118.15         0         0   
    4.689     22.39   57.9288         0     121.4     7.463   100.734    118.34         0         0   
    4.752     22.25   57.6028         0     121.7     6.861   101.129   118.492         0         0   
    4.814     21.82   57.3186         0     122.2     6.338   101.512   118.601         0         0   
    4.877     22.14   57.0857         0     122.7     6.054   101.894   118.876         0         0   
    4.939     22.95    56.846         0     123.5      5.87   102.265   119.232         0         0   
    5.002     23.44   56.4893         0     124.4     5.873   102.635   119.476         0         0   
    5.064     23.72   56.1906         0     125.1     5.817   102.994   119.699         0         0   
    5.127     24.13   55.9578         0     125.9     5.933   103.353   119.981         0         0   
     5.19     24.52   55.6426         0     125.9     6.142   103.707   120.219         0         0   
    5.252     24.58   55.3621         0     126.1     6.468    104.05   120.397         0         0   
    5.315     24.42   55.0236         0     125.8     6.591   104.393   120.506         0         0   
    5.377     24.57   54.7354         0     126.1     6.455   104.725   120.694         0         0   
     5.44     24.78   54.6301         0     126.3      6.02   105.058   120.978         0         0   
    5.502     24.64   54.2556         0     125.9     5.658    105.38   121.061         0         0   
    5.565     24.61   53.9161         0     125.4     5.887   105.703   121.184         0         0   
    5.627     24.71   53.8042         0       126     5.944   106.016   121.428         0         0   
     5.69     24.58   53.6024         0       126     5.919   106.329   121.586         0         0   
    5.752     24.42   53.3724         0     125.5     5.909   106.633   121.719         0         0   
    5.815     24.33   53.4165         0     125.1     5.917   106.937   121.987         0         0   
    5.877     24.33   53.3802         0     125.4     5.576   107.232   122.229         0         0   
     5.94     24.55   53.1334         0     125.7     5.371   107.527   122.425         0         0   
    6.002     24.74   52.9405         0     125.9     5.086   107.813   122.631         0         0   
    6.065     24.72   52.6193         0     126.9     4.891     108.1   122.742         0         0   
    6.127     24.84   52.3499         0     127.4     4.766   108.379   122.896         0         0   
     6.19     25.22    52.159         0       127     4.889   108.657   123.138         0         0   
    6.252     25.49   51.9765         0     127.5     4.936   108.928   123.355         0         0   
    6.315     25.55   51.8121         0     128.1     4.844   109.199   123.538         0         0   
    6.377     25.73   51.6287         0     128.6     4.853   109.461   123.731         0         0   
     6.44     25.95   51.4673         0     128.1     4.911   109.725   123.943         0         0   
    6.503     25.94   51.2892         0     127.3     4.831   109.984   124.097         0         0   
    6.565     25.83   51.1771         0       127     4.735   110.236   124.251         0         0   
    6.628     25.74   51.0992         0     126.6     4.931   110.489   124.424         0         0   
     6.69     25.58   50.9125         0     126.7      4.76   110.734   124.533         0         0   
    6.753      25.4   50.6367         0     126.8     4.815   110.979   124.602         0         0   
    6.815      25.5   50.5609         0     126.7     4.774   111.217   124.804         0         0   
    6.878     25.78   50.5332         0     126.8     4.638   111.456   125.063         0         0   
     6.94     26.17    50.441         0     126.8     4.775   111.688   125.313         0         0   
    7.003     26.53   50.2732         0     126.9     4.565   111.921   125.529         0         0   
    7.065     26.81   50.0646         0     126.5     4.618   112.146   125.706         0         0   
    7.128      27.1   49.7268         0       126     4.804   112.372   125.836         0         0   
     7.19     27.48   49.6677         0     126.3     4.816   112.592   126.091         0         0   
    7.253     27.86   49.6688         0     126.7     4.753   112.812   126.371         0         0   
    7.315     28.21   49.4032         0     126.2     4.775   113.026   126.536         0         0   
    7.378     28.52   49.3716         0     126.1     4.523    113.24   126.784         0         0   
     7.44     28.78   49.2601         0     126.4     4.326   113.448   126.985         0         0   
    7.503     28.93   48.9695         0     126.6     4.346   113.656   127.093         0         0   
    7.565     29.07    48.792         0     127.1     4.361   113.859   127.238         0         0   
    7.628     29.09   48.5021         0     127.7     4.569   114.062   127.314         0         0   
     7.69     29.09   48.2772         0     128.1     4.667   114.259   127.405         0         0   
    7.753     29.45   48.1266         0     127.9     4.857   114.457   127.608         0         0   
    7.816      29.8    47.815         0     128.3     4.623   114.652   127.748         0         0   
    7.878     29.85   47.5767         0     128.1     4.432   114.842   127.841         0         0   
    7.941     30.16   47.4191         0     127.4     4.429   115.032   128.026         0         0   
    8.003     30.45   47.1517         0     127.8     4.099   115.217   128.161         0         0   
    8.066     30.25   47.0416         0     128.3     3.842   115.402    128.24         0         0   
    8.128     30.01   46.8908         0     128.5     4.034   115.582   128.291         0         0   
    8.191     29.91   46.5484         0     128.7     4.137   115.762   128.305         0         0   
    8.253     29.83    46.304         0     129.1     4.092   115.938   128.357         0         0   
    8.316     30.01   46.0953         0     129.2     4.198   116.113   128.482         0         0   
    8.378     30.46   45.9554         0     129.2     4.378   116.284   128.692         0         0   
    8.441     30.74   45.9051         0     129.3     4.586   116.456   128.896         0         0   
    8.503     30.67   45.6601         0     129.4      4.73   116.622   128.943         0         0   
    8.566      30.6   45.2934         0     129.3     4.858   116.789   128.948         0         0   
    8.628     30.64   45.1904         0     129.2     4.982   116.951   129.068         0         0   
    8.691     30.74    45.032         0     128.9     5.176   117.114   129.184         0         0   
    8.753     30.99   44.9371         0     128.9     5.194   117.272   129.354         0         0   
    8.816     31.33   44.8468         0     128.3     5.104   117.431   129.549         0         0   
    8.878     31.65   44.5785         0     128.5     4.761   117.585   129.674         0         0   
    8.941     31.84   44.3304         0     128.4     4.699    117.74   129.776         0         0   
    9.003     31.79   44.2553         0     128.5     4.662   117.891   129.874         0         0   
    9.066     31.81   44.1204         0       128     4.809   118.041    129.97         0         0   
    9.129     31.83   44.0466         0     127.8     4.859    118.19   130.085         0         0   
    9.191     31.78   43.9538         0     127.5      4.51   118.335   130.173         0         0   
    9.254     31.77   43.7088         0       128     4.462    118.48   130.221         0         0   
    9.316     31.75   43.5765         0     128.2     4.679   118.622     130.3         0         0   
    9.379     31.81   43.4882         0     127.9     4.566   118.763   130.414         0         0   
    9.441     31.94   43.3852         0     127.7     4.504   118.901   130.537         0         0   
    9.504     32.15   43.2718         0     127.8     5.378   119.039   130.677         0         0   
    9.566     32.51   43.0669         0     127.7     4.901   119.173    130.82         0         0   
    9.629     32.88   42.7994         0     127.5     4.363   119.308   130.948         0         0   
    9.691     33.05   42.6697         0     127.6      4.31   119.439   131.068         0         0   
    9.754     33.09   42.5623         0     127.7       4.3   119.571   131.163         0         0   
    9.816     33.09   42.4635         0     127.6     4.438   119.698   131.247         0         0   
    9.879     33.48   42.3556         0     127.3     4.651   119.827   131.428         0         0   
    9.941     34.02   42.1135         0     127.4     4.704   119.951   131.602         0         0   
       10     34.27   41.9102         0     127.3     4.688   120.068   131.709         0         0   
    10.07     34.41   41.7972         0     127.3     4.423   120.206   131.835         0         0   
    10.13     34.35    41.705         0     127.2     4.441   120.322   131.896         0         0   
    10.19     34.23   41.6141         0     127.4     4.289   120.437   131.941         0         0   
    10.25     34.33   41.4855         0     127.7     4.188    120.55    132.03         0         0   
    10.32     34.69   41.2096         0       128     3.976   120.681   132.157         0         0   
    10.38     35.08   41.0577         0     128.1     3.966   120.791   132.314         0         0   
    10.44     35.34   40.9753         0     128.3     3.959   120.901   132.457         0         0   
     10.5     35.34   40.8916         0     128.2     3.995   121.008    132.53         0         0   
    10.57     35.48   40.7933         0     128.6     3.833   121.133    132.65         0         0   
    10.63     35.76   40.5936         0       129      3.64   121.238    132.76         0         0   
    10.69     35.93   40.3789         0     129.8     3.548   121.342   132.836         0         0   
    10.75     36.03   40.2681         0     130.1     3.622   121.445   132.923         0         0   
    10.82      36.1   40.1874         0     130.3     3.611   121.563   133.026         0         0   
    10.88      36.3   40.1046         0     130.4     3.543   121.664   133.147         0         0   
    10.94     36.55   40.0077         0     130.4     4.284   121.763   133.277         0         0   
       11     36.66    39.787         0     130.5     4.247   121.861    133.33         0         0   
    11.07      36.7   39.5904         0     130.8     3.351   121.973   133.386         0         0   
    11.13     36.74   39.5029         0     130.6      3.38   122.069   133.458         0         0   
    11.19     36.89   39.4451         0     130.6     3.313   122.163   133.569         0         0   
    11.25     37.14   39.3681         0     130.9     3.134   122.256     133.7         0         0   
    11.32     37.25   39.2111         0     131.1     3.106   122.364   133.783         0         0   
    11.38     37.34   39.0006         0     130.8      3.13   122.454    133.83         0         0   
    11.44     37.35   38.8641         0     130.7      3.19   122.544   133.875         0         0   
