!# Results of ROTMAS saved at 13-Oct-2007 (11:46:58)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 157.333
!# Red. Chi-square (N=288,n=2) : 0.550114
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     9.919360   109.496002     1.000000     1.000000 
!# Parameter error :     0.180147     0.997696     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06252    -0.878   5.01335         0      1.98     6.926   13.0178   13.9222         0         0   
    0.125    -1.771   11.5621         0     15.78     7.691   18.3553   21.6209         0         0   
   0.1876     -2.74    18.917         0      22.3     4.584   22.4236   29.2089         0         0   
   0.2501    -3.448    25.385         0     32.16     4.542   25.8186   36.0431         0         0   
   0.3126    -3.847   30.7404         0     39.67     4.433   28.7847   41.9372         0         0   
   0.3751    -3.736   35.6968         0     46.24     4.892   31.4439   47.4239         0         0   
   0.4377    -3.329   39.9872         0     53.31     5.425   33.8727   52.2997         0         0   
   0.5002    -3.488   43.5123         0     59.93     5.252    36.111   56.4372         0         0   
   0.5627    -3.553   46.2506         0     63.97     4.703   38.1958   59.8783         0         0   
   0.6252    -3.157   48.3567         0     67.31     4.833   40.1514   62.7737         0         0   
   0.6878    -2.552    49.901         0     71.34     5.217   41.9991    65.173         0         0   
   0.7503     -1.75   51.4722         0     75.57     5.835   43.7471   67.5287         0         0   
   0.8128    -1.157   52.9319         0     77.88     5.215   45.4099   69.7317         0         0   
   0.8753    0.9515   54.1831         0     78.48     4.769   46.9969   71.7316         0         0   
