!# Results of ROTMAS saved at 16-Oct-2007 (20:00:57)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 356.322
!# Red. Chi-square (N=97,n=2) : 3.750753
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     0.712810  1259.939941     1.000000     1.000000     1.000000 
!# Parameter error :     0.140863   474.922333     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.3024    -2.373   18.2623   102.462     20.16     22.95   43.4236   112.747         0         0   
   0.6049     -3.62   33.5567   138.725     25.96     25.51   77.0482   162.154         0         0   
   0.9073    -4.127   46.1485   110.156     28.24     22.43   100.246   155.873         0         0   
     1.21    -5.296   56.2927   94.2163     38.21     22.83   116.174   159.731         0         0   
    1.512    -6.943    64.882   83.1272     66.07     19.52   127.431   165.258         0         0   
    1.815    -7.838   71.1529   75.1598     98.94     13.92   135.741   170.517         0         0   
    2.117    -7.347   74.3327   69.7102     129.7     9.274   142.047   174.666         0         0   
    2.419    -5.292   78.0527   65.7658     149.9     6.805   146.991   178.874         0         0   
    2.722    -1.978   84.5124   61.4205     167.4     8.968   150.976   183.588         0         0   
    3.024    -2.043   90.3317   57.9532       181     11.64    154.23   187.886         0         0   
    3.327    -4.506   94.2541    54.543     191.5     10.79   156.953   190.978         0         0   
    3.629    -4.679     96.81   52.6914     200.3     10.11   159.249   193.615         0         0   
    3.932     5.331   100.969   50.9203     206.7     9.159   161.222   196.999         0         0   
    4.234     10.29   104.175    49.296     211.1     8.196   162.925   199.832         0         0   
    4.536      13.1    104.77   46.4151     213.5     7.037   164.414   200.835         0         0   
    4.839     14.54   104.887   45.2586     214.1     5.791   165.731   201.811         0         0   
    5.141     15.62   104.303   44.1649     213.5     5.235   166.896   202.306         0         0   
    5.444     17.96   103.481   43.1038     213.2     4.973   167.941   202.714         0         0   
    5.746     21.41   102.505   41.1088     214.2      4.63   168.877   202.917         0         0   
    6.049     24.57   101.211      40.3     215.5     4.233   169.727   203.171         0         0   
    6.351      26.5   99.8906   39.5292     215.3     3.944   170.495   203.253         0         0   
    6.653     27.59   97.7793   38.7881       214     4.039   171.197   202.817         0         0   
    6.956     28.18   95.7105   37.2935     212.5     4.023   171.841   202.175         0         0   
    7.258     28.25   93.6057    36.691       211     4.042   172.432   201.591         0         0   
    7.561     28.07   91.9457   36.1048     207.7     4.575   172.978   201.164         0         0   
    7.863     27.54    90.376   35.5419     204.8     5.171   173.482   200.712         0         0   
