!# Results of ROTMAS saved at 16-Oct-2007 (20:01:56)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 73.2332
!# Red. Chi-square (N=97,n=3) : 0.779076
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     2.374450   102.511002     0.000000     2.855700     1.000000 
!# Parameter error :     0.872360    72.877403     0.000000     0.374049     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.3024    -2.373   30.8611        -0     20.16     22.95    12.963   33.3889         0         0   
   0.6049     -3.62   56.7069        -0     25.96     25.51   25.5663   62.0983         0         0   
   0.9073    -4.127   77.9855        -0     28.24     22.43   37.4981   86.4339         0         0   
     1.21    -5.296    95.128        -0     38.21     22.83   48.5663   106.677         0         0   
    1.512    -6.943   109.643        -0     66.07     19.52   58.6322   124.141         0         0   
    1.815    -7.838    120.24        -0     98.94     13.92   67.7324   137.782         0         0   
    2.117    -7.347   125.613        -0     129.7     9.274   75.8469   146.552         0         0   
    2.419    -5.292     131.9        -0     149.9     6.805   83.0809   155.795         0         0   
    2.722    -1.978   142.816        -0     167.4     8.968   89.5427   168.554         0         0   
    3.024    -2.043    152.65        -0       181     11.64   95.2805   179.934         0         0   
    3.327    -4.506   159.278        -0     191.5     10.79   100.419   188.237         0         0   
    3.629    -4.679   163.597        -0     200.3     10.11   105.003   194.339         0         0   
    3.932     5.331   170.626        -0     206.7     9.159   109.131   202.611         0         0   
    4.234     10.29   176.043        -0     211.1     8.196   112.838   209.355         0         0   
    4.536      13.1   177.049        -0     213.5     7.037    116.19   212.175         0         0   
    4.839     14.54   177.247        -0     214.1     5.791   119.241   214.117         0         0   
    5.141     15.62    176.26        -0     213.5     5.235   122.009   214.936         0         0   
    5.444     17.96   174.871        -0     213.2     4.973   124.545   215.439         0         0   
    5.746     21.41   173.221        -0     214.2      4.63   126.861   215.773         0         0   
    6.049     24.57   171.035        -0     215.5     4.233   128.997   215.631         0         0   
    6.351      26.5   168.803        -0     215.3     3.944   130.959   215.284         0         0   
    6.653     27.59   165.235        -0       214     4.039   132.773   213.758         0         0   
    6.956     28.18   161.739        -0     212.5     4.023   134.459    212.21         0         0   
    7.258     28.25   158.183        -0       211     4.042   136.021   210.527         0         0   
    7.561     28.07   155.377        -0     207.7     4.575    137.48   209.358         0         0   
    7.863     27.54   152.725        -0     204.8     5.171   138.837   208.228         0         0   
    8.166     26.51    149.99        -0     200.8     5.637   140.111   206.956         0         0   
    8.468      25.1   147.512        -0       199     5.345     141.3   205.805         0         0   
     8.77     23.73   145.053        -0     200.7     4.837   142.417   204.661         0         0   
    9.073     22.36   143.098        -0     200.4     4.974   143.471   203.865         0         0   
    9.375     20.96   141.128        -0     200.6      4.97   144.461   203.041         0         0   
    9.678     19.19   140.022        -0     201.9      5.18   145.398   202.769         0         0   
     9.98     18.54   138.769        -0       204     8.209   146.281   202.482         0         0   
    10.28     21.54   136.261        -0     206.9     4.214   147.112   201.676         0         0   
    10.58     22.71   133.506        -0     206.1     3.779     147.9   200.534         0         0   
    10.89     22.82   131.081        -0     205.1     4.035   148.672   199.515         0         0   
    11.19        23   129.241        -0       204     4.352   149.382   198.865         0         0   
    11.49     23.46   127.198        -0     203.3     4.633   150.057   198.108         0         0   
    11.79     24.05   125.415        -0       203     4.881   150.701    197.53         0         0   
     12.1     24.66   123.555        -0     202.3      5.23   151.336   196.917         0         0   
     12.4     25.57   122.014        -0     201.6     5.488   151.921   196.523         0         0   
     12.7     26.48   120.508        -0     200.9     5.599   152.482   196.148         0         0   
       13     27.26   119.076        -0     200.3     5.866   153.018   195.798         0         0   
    13.31     28.15   117.574        -0       200     5.991   153.548    195.43         0         0   
    13.61     29.41   116.066        -0     199.9     6.164   154.039   195.101         0         0   
    13.91     31.12   114.709        -0     199.8     6.433   154.511   194.937         0         0   
    14.21     33.13    113.29        -0     199.8     6.782   154.964   194.797         0         0   
    14.52     34.93   111.972        -0     199.8      6.79   155.413   194.708         0         0   
    14.82     36.09   110.737        -0     199.8     6.622   155.831   194.547         0         0   
    15.12     37.01   109.652        -0     199.7     6.316   156.234   194.428         0         0   
    15.42     37.73   108.659        -0     199.8     6.081   156.621   194.321         0         0   
    15.73     38.08   107.514        -0     199.5     6.031   157.007   194.063         0         0   
    16.03     38.63   106.623        -0       199     5.987   157.367   193.972         0         0   
    16.33     39.03   105.693        -0     198.5     5.983   157.714   193.825         0         0   
    16.63     38.92   104.745        -0     197.2      5.93    158.05   193.561         0         0   
    16.94      38.5   103.715        -0     195.6     5.538   158.384   193.196         0         0   
    17.24     38.11   102.728        -0     194.2     5.178   158.697   192.848         0         0   
    17.54     37.98   101.853        -0     192.9      4.92       159   192.607         0         0   
    17.84     37.99   100.942        -0     191.9      4.62   159.293   192.372         0         0   
    18.15     38.12   100.127        -0     191.2     4.715   159.586   192.214         0         0   
    18.45     38.42   99.2702        -0     190.3     4.821   159.861   192.058         0         0   
    18.75     38.83    98.523        -0     190.2     5.156   160.127   191.977         0         0   
    19.05     39.19   97.7237        -0     190.1     5.401   160.385   191.857         0         0   
    19.36     39.43   96.9379        -0     188.7     5.744   160.644   191.724         0         0   
    19.66     39.98   96.2305        -0     187.9     8.148   160.887   191.685         0         0   
    19.96     40.73   95.4869        -0     188.3     6.306   161.123   191.669         0         0   
    20.26     41.11   94.8316        -0     188.4     6.681   161.352   191.618         0         0   
    20.57      41.3   94.0943        -0     188.7     6.996   161.582   191.489         0         0   
    20.87     41.52   93.4758        -0     189.4     7.004   161.798   191.417         0         0   
    21.17     41.59   92.7941        -0     190.2     6.854   162.009   191.278         0         0   
    21.47     41.62    92.143        -0     190.3     6.748   162.213   191.143         0         0   
    21.77     41.73   91.5453        -0     190.1     6.716   162.413   191.049         0         0   
    22.08     41.87   90.8879        -0     189.9     6.517   162.613   190.937         0         0   
    22.38     42.01   90.3306        -0     189.8     5.839   162.802   190.864         0         0   
    22.68     42.01   89.7129        -0     189.9     5.042   162.986    190.73         0         0   
    22.98      41.9   89.1805        -0     189.7     5.078   163.166   190.609         0         0   
    23.29     41.69   88.5709        -0     189.8     5.028   163.346   190.433         0         0   
    23.59     41.43   88.0079        -0     189.5     5.292   163.517   190.262         0         0   
    23.89     41.18   87.4904        -0     189.1     5.703   163.683   190.112         0         0   
    24.19     40.89    86.939        -0     187.3      8.65   163.845   189.936         0         0   
     24.5     40.65   86.4369        -0     187.2     5.933   164.009   189.797         0         0   
     24.8     40.57    85.909        -0     187.1     6.004   164.164   189.674         0         0   
     25.1     40.46   85.4365        -0     186.8     8.107   164.315   189.567         0         0   
     25.4     40.21   84.9351        -0       186     8.472   164.462   189.417         0         0   
    25.71     39.99    84.415        -0     184.6      5.72   164.611   189.267         0         0   
    26.01     39.93   83.9817        -0       185     5.514   164.752   189.184         0         0   
    26.31     39.84   83.4955        -0       185      5.88    164.89    189.07         0         0   
    26.61     39.59   83.0918        -0     185.1     5.367   165.025   188.957         0         0   
    26.92     39.25   82.6002        -0       186     5.071   165.161    188.79         0         0   
    27.22     39.09   82.1644        -0       187     4.519    165.29   188.679         0         0   
    27.52     38.91    81.767        -0     187.1     4.201   165.416    188.58         0         0   
    27.82     38.61   81.3504        -0     187.9     4.888    165.54   188.446         0         0   
