!# Results of ROTMAS saved at 16-Oct-2007 (20:02:24)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 239.62
!# Red. Chi-square (N=97,n=2) : 2.522317
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :    27.544399   116.056000     1.000000     1.000000     1.000000 
!# Parameter error :     1.265838     1.561755     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.3024    -2.373   18.2623   102.462     20.16     22.95   62.4569   121.356         0         0   
   0.6049     -3.62   33.5567   138.725     25.96     25.51   85.4299     166.3         0         0   
   0.9073    -4.127   46.1485   110.156     28.24     22.43   101.335   156.575         0         0   
     1.21    -5.296   56.2927   94.2163     38.21     22.83    113.49    157.79         0         0   
    1.512    -6.943    64.882   83.1272     66.07     19.52   123.192   162.012         0         0   
    1.815    -7.838   71.1529   75.1598     98.94     13.92     131.2   166.924         0         0   
    2.117    -7.347   74.3327   69.7102     129.7     9.274   137.891   171.303         0         0   
    2.419    -5.292   78.0527   65.7658     149.9     6.805   143.578   176.079         0         0   
    2.722    -1.978   84.5124   61.4205     167.4     8.968   148.477   181.539         0         0   
    3.024    -2.043   90.3317   57.9532       181     11.64   152.703   186.635         0         0   
    3.327    -4.506   94.2541    54.543     191.5     10.79   156.398   190.522         0         0   
    3.629    -4.679     96.81   52.6914     200.3     10.11   159.622   193.923         0         0   
    3.932     5.331   100.969   50.9203     206.7     9.159   162.468    198.02         0         0   
    4.234     10.29   104.175    49.296     211.1     8.196   164.971   201.504         0         0   
    4.536      13.1    104.77   46.4151     213.5     7.037   167.186   203.111         0         0   
    4.839     14.54   104.887   45.2586     214.1     5.791   169.158   204.635         0         0   
    5.141     15.62   104.303   44.1649     213.5     5.235   170.905   205.626         0         0   
    5.444     17.96   103.481   43.1038     213.2     4.973   172.464   206.477         0         0   
    5.746     21.41   102.505   41.1088     214.2      4.63   173.848   207.071         0         0   
    6.049     24.57   101.211      40.3     215.5     4.233   175.084   207.668         0         0   
    6.351      26.5   99.8906   39.5292     215.3     3.944   176.183   208.046         0         0   
    6.653     27.59   97.7793   38.7881       214     4.039   177.161   207.876         0         0   
    6.956     28.18   95.7105   37.2935     212.5     4.023   178.035   207.465         0         0   
    7.258     28.25   93.6057    36.691       211     4.042   178.808   207.072         0         0   
    7.561     28.07   91.9457   36.1048     207.7     4.575   179.497   206.796         0         0   
    7.863     27.54    90.376   35.5419     204.8     5.171   180.104   206.463         0         0   
    8.166     26.51   88.7579   34.3783     200.8     5.637   180.641   205.898         0         0   
    8.468      25.1   87.2915   33.9043       199     5.345   181.112   205.428         0         0   
     8.77     23.73   85.8359   33.4447     200.7     4.837   181.524    204.94         0         0   
    9.073     22.36   84.6791   32.9953     200.4     4.974   181.883   204.549         0         0   
    9.375     20.96   83.5136   32.0593     200.6      4.97   182.191   204.047         0         0   
    9.678     19.19   82.8591   31.6709     201.9      5.18   182.456   203.782         0         0   
