!# Results of ROTMAS saved at 16-Oct-2007 (20:02:40)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 86.0568
!# Red. Chi-square (N=97,n=3) : 0.915498
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :    15.108700   124.328003     0.000000     2.532930     1.000000 
!# Parameter error :     1.851442     3.178020     0.000000     0.203230     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.3024    -2.373   29.0648        -0     20.16     22.95   41.0543   50.2453         0         0   
   0.6049     -3.62   53.4061        -0     25.96     25.51    57.045   78.0592         0         0   
   0.9073    -4.127   73.4462        -0     28.24     22.43   68.6664   100.461         0         0   
     1.21    -5.296   89.5909        -0     38.21     22.83   77.9687   118.649         0         0   
    1.512    -6.943   103.261        -0     66.07     19.52   85.7322   134.032         0         0   
    1.815    -7.838   113.241        -0     98.94     13.92   92.4232   145.959         0         0   
    2.117    -7.347   118.302        -0     129.7     9.274   98.2542   153.607         0         0   
    2.419    -5.292   124.222        -0     149.9     6.805   103.419   161.551         0         0   
    2.722    -1.978   134.503        -0     167.4     8.968   108.052   172.518         0         0   
    3.024    -2.043   143.765        -0       181     11.64   112.213   182.362         0         0   
    3.327    -4.506   150.007        -0     191.5     10.79   115.996    189.57         0         0   
    3.629    -4.679   154.075        -0     200.3     10.11   119.432   194.887         0         0   
    3.932     5.331   160.694        -0     206.7     9.159   122.585   202.183         0         0   
    4.234     10.29   165.796        -0     211.1     8.196   125.471   208.176         0         0   
    4.536      13.1   166.743        -0     213.5     7.037    128.13   210.695         0         0   
    4.839     14.54    166.93        -0     214.1     5.791   130.594   212.442         0         0   
    5.141     15.62       166        -0     213.5     5.235   132.867   213.199         0         0   
    5.444     17.96   164.692        -0     213.2     4.973   134.983   213.697         0         0   
    5.746     21.41   163.139        -0     214.2      4.63   136.944   214.071         0         0   
    6.049     24.57   161.079        -0     215.5     4.233   138.775    214.03         0         0   
    6.351      26.5   158.978        -0     215.3     3.944   140.478   213.799         0         0   
    6.653     27.59   155.618        -0       214     4.039   142.068   212.512         0         0   
    6.956     28.18   152.325        -0     212.5     4.023   143.559   211.202         0         0   
    7.258     28.25   148.975        -0       211     4.042    144.95   209.767         0         0   
    7.561     28.07   146.333        -0     207.7     4.575   146.258   208.789         0         0   
    7.863     27.54   143.835        -0     204.8     5.171   147.481    207.84         0         0   
    8.166     26.51    141.26        -0     200.8     5.637   148.632   206.757         0         0   
    8.468      25.1   138.926        -0       199     5.345   149.709   205.775         0         0   
     8.77     23.73   136.609        -0     200.7     4.837   150.722   204.798         0         0   
    9.073     22.36   134.768        -0     200.4     4.974   151.677   204.128         0         0   
    9.375     20.96   132.913        -0     200.6      4.97   152.573    203.43         0         0   
    9.678     19.19   131.872        -0     201.9      5.18   153.419   203.214         0         0   
     9.98     18.54   130.691        -0       204     8.209   154.213   202.992         0         0   
    10.28     21.54    128.33        -0     206.9     4.214   154.957   202.346         0         0   
    10.58     22.71   125.735        -0     206.1     3.779   155.657   201.381         0         0   
    10.89     22.82   123.452        -0     205.1     4.035   156.339   200.507         0         0   
    11.19        23   121.718        -0       204     4.352   156.961   199.952         0         0   
    11.49     23.46   119.794        -0     203.3     4.633   157.547   199.304         0         0   
    11.79     24.05   118.115        -0       203     4.881   158.099   198.809         0         0   
     12.1     24.66   116.363        -0     202.3      5.23   158.638   198.278         0         0   
     12.4     25.57   114.912        -0     201.6     5.488   159.128   197.941         0         0   
     12.7     26.48   113.493        -0     200.9     5.599   159.591   197.614         0         0   
       13     27.26   112.145        -0     200.3     5.866   160.027   197.303         0         0   
    13.31     28.15    110.73        -0       200     5.991   160.451   196.973         0         0   
    13.61     29.41    109.31        -0     199.9     6.164   160.838   196.678         0         0   
    13.91     31.12   108.032        -0     199.8     6.433   161.202   196.534         0         0   
    14.21     33.13   106.695        -0     199.8     6.782   161.544   196.413         0         0   
    14.52     34.93   105.455        -0     199.8      6.79   161.877   196.329         0         0   
    14.82     36.09   104.292        -0     199.8     6.622    162.18   196.167         0         0   
    15.12     37.01    103.27        -0     199.7     6.316   162.464   196.033         0         0   
    15.42     37.73   102.334        -0     199.8     6.081   162.731   195.901         0         0   
    15.73     38.08   101.256        -0     199.5     6.031   162.989   195.623         0         0   
    16.03     38.63   100.417        -0       199     5.987   163.223   195.493         0         0   
    16.33     39.03    99.541        -0     198.5     5.983   163.443   195.308         0         0   
    16.63     38.92   98.6477        -0     197.2      5.93   163.648   195.004         0         0   
    16.94      38.5   97.6777        -0     195.6     5.538   163.845   194.598         0         0   
    17.24     38.11   96.7487        -0     194.2     5.178   164.023   194.207         0         0   
