!# Results of ROTMAS saved at 12-May-2008 (13:35:33)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 119.455
!# Red. Chi-square (N=94,n=2) : 1.298427
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     8.685320   109.778999     0.710000     1.000000 
!# Parameter error :     0.377147     1.690554     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4019      1.03   36.4385         0     23.77     5.576   29.6701   47.0015         0         0   
   0.8039    -1.568   58.3056         0      42.3     6.204   41.3212    71.446         0         0   
    1.206     -3.98   67.6741         0     56.24     6.558   49.8534   83.9601         0         0   
    1.608    -5.708    71.875         0     67.49     6.965   56.7214   91.3824         0         0   
     2.01    -7.393   71.1654         0     76.42     7.424   62.5045   94.4282         0         0   
    2.412    -9.243    71.479         0     84.69      5.94   67.5047    97.881         0         0   
    2.814    -10.85   71.9659         0     91.77     5.494   71.9044   101.151         0         0   
    3.216     -11.5   73.5931         0     99.19     4.859    75.825   105.039         0         0   
    3.617    -10.98   76.1563         0     106.3     4.307   79.3436   109.429         0         0   
    4.019    -10.05   78.9478         0     113.5     4.031   82.5409   113.775         0         0   
    4.421    -9.169   82.2749         0     121.5     4.653   85.4562    118.27         0         0   
    4.823    -7.911   87.2326         0     128.6     5.635   88.1276   123.747         0         0   
    5.225    -5.975   94.7504         0     133.9     6.663   90.5857   130.949         0         0   
    5.627    -1.655   100.393         0     138.2     7.271   92.8556   136.742         0         0   
    6.029     5.834   103.127         0     140.4     7.032   94.9581   140.308         0         0   
    6.431     8.627    104.77         0     142.4     5.534    96.911   142.979         0         0   
    6.833     10.96   106.288         0     142.8     3.916   98.7291   145.481         0         0   
    7.235      13.1   106.411         0     142.9     4.516   100.425   146.902         0         0   
    7.637     15.21    105.74         0     143.2     6.099   102.011   147.711         0         0   
    8.039     17.31   104.973         0     144.5      6.82   103.495   148.426         0         0   
    8.441        19    104.34         0       146     6.666   104.887   149.162         0         0   
    8.843     20.81   102.942         0     147.1     6.148   106.194   149.357         0         0   
    9.245     22.47   101.859         0     148.4     5.116   107.423   149.732         0         0   
    9.647     23.63   100.857         0     149.9     3.861    108.58   150.067         0         0   
    10.05     24.99   100.327         0     151.1     3.192   109.672   150.725         0         0   
    10.45     26.36   99.4749         0       152     3.271   110.695    151.14         0         0   
    10.85     27.22   98.8775         0     152.6     3.623    111.66    151.61         0         0   
    11.25     27.75   97.8453         0     153.4     3.846   112.573   151.712         0         0   
    11.66     28.72   96.6741         0     154.5     3.963   113.457     151.8         0         0   
    12.06     30.19   95.5567         0     155.7     3.685   114.272   151.989         0         0   
    12.46      32.1   94.2962         0     156.9     3.314   115.044   152.175         0         0   
    12.86     34.06   93.0761         0     157.8      3.22   115.775   152.404         0         0   
    13.26     35.71   91.7313         0     158.5     3.254   116.468   152.495         0         0   
    13.67     36.67   90.3115         0     158.7     3.245   117.141   152.391         0         0   
    14.07      37.2   89.1765         0       158     3.218   117.764   152.331         0         0   
    14.47     37.54   88.0465         0     156.6     3.391   118.355   152.215         0         0   
    14.87      37.8   86.8652         0     155.2     3.873   118.916   152.037         0         0   
    15.27     38.02   85.7504         0       153     4.865   119.448   151.877         0         0   
    15.68     38.09   84.5733         0     151.1     5.308   119.967   151.643         0         0   
    16.08     37.81   83.4925         0       150     5.178   120.446   151.354         0         0   
    16.48     37.35   82.3906         0     150.1     5.031   120.902   150.999         0         0   
    16.88     37.22   81.3417         0     150.2     4.808   121.336   150.745         0         0   
    17.28     37.58   80.2892         0     150.3     4.512   121.747   150.602         0         0   
    17.69     38.05   79.2025         0     150.3     4.325   122.148   150.469         0         0   
    18.09     38.55   78.2608         0     150.5     4.283   122.519   150.406         0         0   
    18.49     39.15   77.2463         0     150.7     4.187   122.872   150.324         0         0   
    18.89     39.77   76.3418         0     151.3     4.309   123.208   150.299         0         0   
    19.29      40.6   75.3824         0       152     4.302   123.527   150.299         0         0   
     19.7     41.76   74.4874         0     152.8     4.196   123.837   150.425         0         0   
     20.1     42.84   73.5937         0       153     4.191   124.124   150.526         0         0   
     20.5      43.7   72.7593         0     153.1     4.314   124.397   150.593         0         0   
     20.9     44.38   71.9183         0     152.9     4.145   124.656   150.602         0         0   
     21.3     44.82   71.1229         0     151.6     3.687   124.902   150.558         0         0   
     21.7     44.82    70.334         0     150.9      3.23   125.136   150.382         0         0   
    22.11     44.58   69.5606         0     150.7     3.021   125.362   150.139         0         0   
    22.51     44.29   68.8238         0     150.3     3.301   125.572   149.889         0         0   
    22.91     43.94   68.1064         0     149.8     3.622   125.771   149.625         0         0   
    23.31      43.5   67.4129         0     149.5     3.622   125.959    149.34         0         0   
    23.71     43.37   66.7325         0     149.7     3.438   126.137   149.147         0         0   
    24.12     43.75   66.0497         0       150     3.325    126.31     149.1         0         0   
    24.52     44.61   65.3852         0     150.1     3.189   126.469   149.197         0         0   
    24.92     45.96   64.7749         0     149.9     3.226   126.619   149.468         0         0   
    25.32     47.34   64.1502         0     149.5     3.286   126.761   149.749         0         0   
    25.72     48.33   63.5664         0     149.1     3.473   126.895   149.929         0         0   
    26.13     49.19   62.9672         0     148.6     3.666   127.024   150.065         0         0   
    26.53     49.93   62.4087         0     148.2     3.855   127.142   150.177         0         0   
    26.93     50.46   61.8626         0     148.3     3.964   127.254   150.222         0         0   
    27.33     50.86   61.3269         0     148.2     3.947   127.358   150.226         0         0   
    27.73     51.14   60.8124         0     147.9     4.233   127.455   150.194         0         0   
    28.14      51.3   60.2901         0     146.8      4.21   127.549   150.118         0         0   
    28.54     51.41   59.8016         0     146.5     4.496   127.634   150.032         0         0   
    28.94     51.44   59.3185         0     146.1     4.574   127.713   149.918         0         0   
    29.34     51.32   58.8486         0     145.5     4.833   127.786   149.754         0         0   
    29.74     50.99    58.395         0     145.4     4.866   127.854   149.522         0         0   
    30.15      50.8   57.9327         0     145.2     4.686   127.919   149.332         0         0   
    30.55     50.75   57.4905         0     145.2     4.502   127.976   149.193         0         0   
    30.95     50.69   57.0719         0     145.2     4.604   128.029   149.057         0         0   
    31.35     50.54   56.6567         0     145.1     4.507   128.077   148.889         0         0   
    31.75     50.48   56.2511         0     145.8     4.427   128.121   148.753         0         0   
    32.16     50.59   55.8497         0     146.6     4.296   128.161   148.673         0         0   
    32.56     50.71   55.4583         0     146.8     4.231   128.196   148.598         0         0   
    32.96     50.72   55.0882         0       147      4.52   128.227    148.49         0         0   
    33.36     50.63   54.7117         0     146.8     4.675   128.254   148.344         0         0   
