!# Results of ROTMAS saved at 12-Oct-2007 (17:42:33)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 104.142
!# Red. Chi-square (N=94,n=2) : 1.131980
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     4.842290    15.070900     1.000000     1.000000 
!# Parameter error :     0.293843     1.502693     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4019      1.03   43.2446         0     23.77     5.576   6.62413   43.7611         0         0   
   0.8039    -1.568    69.196         0      42.3     6.204   13.1691   70.4205         0         0   
    1.206     -3.98   80.3144         0     56.24     6.558   19.5601   82.5661         0         0   
    1.608    -5.708   85.2999         0     67.49     6.965   25.7301    88.913         0         0   
     2.01    -7.393   84.4578         0     76.42     7.424   31.6307    89.883         0         0   
    2.412    -9.243     84.83         0     84.69      5.94   37.2271   92.1768         0         0   
    2.814    -10.85   85.4078         0     91.77     5.494    42.499   94.7783         0         0   
    3.216     -11.5   87.3389         0     99.19     4.859   47.4383    98.723         0         0   
    3.617    -10.98   90.3809         0     106.3     4.307   52.0361   103.711         0         0   
    4.019    -10.05   93.6938         0     113.5     4.031   56.3246   108.858         0         0   
    4.421    -9.169   97.6424         0     121.5     4.653   60.3067   114.398         0         0   
    4.823    -7.911   103.526         0     128.6     5.635        64   121.454         0         0   
    5.225    -5.975   112.448         0     133.9     6.663   67.4239   130.976         0         0   
    5.627    -1.655   119.145         0     138.2     7.271   70.5983   138.481         0         0   
    6.029     5.834   122.389         0     140.4     7.032   73.5427   142.904         0         0   
    6.431     8.627   124.339         0     142.4     5.534    76.276   146.125         0         0   
    6.833     10.96   126.141         0     142.8     3.916   78.8159   149.143         0         0   
    7.235      13.1   126.287         0     142.9     4.516   81.1791   150.699         0         0   
    7.637     15.21    125.49         0     143.2     6.099   83.3806   151.431         0         0   
    8.039     17.31    124.58         0     144.5      6.82   85.4345   152.049         0         0   
    8.441        19   123.829         0       146     6.666   87.3535   152.726         0         0   
    8.843     20.81    122.17         0     147.1     6.148    89.149   152.663         0         0   
    9.245     22.47   120.884         0     148.4     5.116   90.8316   152.867         0         0   
    9.647     23.63   119.695         0     149.9     3.861   92.4107   153.052         0         0   
    10.05     24.99   119.066         0     151.1     3.192   93.8984   153.682         0         0   
    10.45     26.36   118.055         0       152     3.271   95.2882   153.986         0         0   
    10.85     27.22   117.346         0     152.6     3.623   96.5986    154.41         0         0   
    11.25     27.75   116.121         0     153.4     3.846   97.8357   154.357         0         0   
    11.66     28.72   114.731         0     154.5     3.963   99.0336   154.259         0         0   
    12.06     30.19   113.405         0     155.7     3.685   100.139   154.272         0         0   
    12.46      32.1   111.909         0     156.9     3.314   101.187   154.249         0         0   
    12.86     34.06   110.461         0     157.8      3.22   102.181   154.281         0         0   
    13.26     35.71   108.865         0     158.5     3.254   103.125   154.148         0         0   
    13.67     36.67    107.18         0     158.7     3.245   104.046   153.811         0         0   
    14.07      37.2   105.833         0       158     3.218     104.9   153.585         0         0   
    14.47     37.54   104.492         0     156.6     3.391   105.714   153.308         0         0   
    14.87      37.8    103.09         0     155.2     3.873   106.491    152.96         0         0   
    15.27     38.02   101.767         0       153     4.865   107.232   152.646         0         0   
    15.68     38.09    100.37         0     151.1     5.308   107.959    152.25         0         0   
    16.08     37.81   99.0874         0       150     5.178   108.636   151.822         0         0   
    16.48     37.35   97.7796         0     150.1     5.031   109.285   151.325         0         0   
    16.88     37.22   96.5349         0     150.2     4.808   109.907   150.943         0         0   
    17.28     37.58   95.2858         0     150.3     4.512   110.504   150.674         0         0   
    17.69     38.05   93.9961         0     150.3     4.325   111.091   150.413         0         0   
    18.09     38.55   92.8785         0     150.5     4.283    111.64   150.253         0         0   
    18.49     39.15   91.6745         0     150.7     4.187   112.169   150.063         0         0   
    18.89     39.77   90.6011         0     151.3     4.309   112.677   149.955         0         0   
    19.29      40.6   89.4624         0       152     4.302   113.167   149.862         0         0   
     19.7     41.76   88.4003         0     152.8     4.196    113.65   149.916         0         0   
     20.1     42.84   87.3396         0       153     4.191   114.104   149.944         0         0   
     20.5      43.7   86.3494         0     153.1     4.314   114.543   149.953         0         0   
     20.9     44.38   85.3513         0     152.9     4.145   114.966   149.905         0         0   
     21.3     44.82   84.4074         0     151.6     3.687   115.374   149.815         0         0   
     21.7     44.82   83.4711         0     150.9      3.23   115.769   149.595         0         0   
    22.11     44.58   82.5532         0     150.7     3.021    116.16   149.317         0         0   
    22.51     44.29   81.6788         0     150.3     3.301   116.529   149.037         0         0   
    22.91     43.94   80.8274         0     149.8     3.622   116.886   148.749         0         0   
    23.31      43.5   80.0044         0     149.5     3.622   117.232   148.446         0         0   
    23.71     43.37   79.1969         0     149.7     3.438   117.567    148.24         0         0   
    24.12     43.75   78.3866         0       150     3.325     117.9   148.186         0         0   
    24.52     44.61    77.598         0     150.1     3.189   118.215   148.278         0         0   
    24.92     45.96   76.8737         0     149.9     3.226    118.52   148.556         0         0   
    25.32     47.34   76.1323         0     149.5     3.286   118.817   148.844         0         0   
    25.72     48.33   75.4395         0     149.1     3.473   119.105    149.04         0         0   
