!# Results of ROTMAS saved at 12-Oct-2007 (17:42:44)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 73.7069
!# Red. Chi-square (N=94,n=3) : 0.809965
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     2.716190    47.409401     0.706550     1.000000 
!# Parameter error :     0.328051    11.389585     0.055744     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4019      1.03   36.3499         0     23.77     5.576   11.6966   38.1993         0         0   
   0.8039    -1.568   58.1638         0      42.3     6.204   22.9589   62.5114         0         0   
    1.206     -3.98   67.5095         0     56.24     6.558   33.4435    75.234         0         0   
    1.608    -5.708   71.7001         0     67.49     6.965   42.9442   83.3818         0         0   
     2.01    -7.393   70.9923         0     76.42     7.424   51.3981   87.3328         0         0   
    2.412    -9.243   71.3052         0     84.69      5.94   58.8367   91.9823         0         0   
    2.814    -10.85   71.7908         0     91.77     5.494   65.3458    96.469         0         0   
    3.216     -11.5    73.414         0     99.19     4.859   71.0333   101.504         0         0   
    3.617    -10.98    75.971         0     106.3     4.307   75.9977   106.896         0         0   
    4.019    -10.05   78.7558         0     113.5     4.031   80.3655   112.072         0         0   
    4.421    -9.169   82.0748         0     121.5     4.653   84.2136   117.235         0         0   
    4.823    -7.911   87.0204         0     128.6     5.635   87.6191   123.236         0         0   
    5.225    -5.975   94.5199         0     133.9     6.663    90.647   130.825         0         0   
    5.627    -1.655   100.149         0     138.2     7.271    93.352     136.9         0         0   
    6.029     5.834   102.876         0     140.4     7.032   95.7797   140.681         0         0   
    6.431     8.627   104.515         0     142.4     5.534   97.9681   143.512         0         0   
    6.833     10.96    106.03         0     142.8     3.916   99.9493   146.124         0         0   
    7.235      13.1   106.152         0     142.9     4.516    101.75   147.625         0         0   
    7.637     15.21   105.483         0     143.2     6.099   103.393   148.486         0         0   
    8.039     17.31   104.718         0     144.5      6.82   104.897   149.227         0         0   
    8.441        19   104.086         0       146     6.666   106.279   149.967         0         0   
    8.843     20.81   102.692         0     147.1     6.148   107.552   150.153         0         0   
    9.245     22.47   101.611         0     148.4     5.116   108.729   150.504         0         0   
    9.647     23.63   100.611         0     149.9     3.861   109.819   150.802         0         0   
    10.05     24.99   100.083         0     151.1     3.192   110.835   151.411         0         0   
    10.45     26.36   99.2329         0       152     3.271   111.774   151.774         0         0   
    10.85     27.22    98.637         0     152.6     3.623   112.651   152.185         0         0   
    11.25     27.75   97.6073         0     153.4     3.846   113.472   152.227         0         0   
    11.66     28.72   96.4389         0     154.5     3.963    114.26   152.252         0         0   
    12.06     30.19   95.3243         0     155.7     3.685   114.982   152.378         0         0   
    12.46      32.1   94.0668         0     156.9     3.314   115.662   152.501         0         0   
    12.86     34.06   92.8497         0     157.8      3.22   116.302   152.668         0         0   
    13.26     35.71   91.5081         0     158.5     3.254   116.907   152.697         0         0   
    13.67     36.67   90.0918         0     158.7     3.245   117.494   152.532         0         0   
    14.07      37.2   88.9595         0       158     3.218   118.035   152.414         0         0   
    14.47     37.54   87.8323         0     156.6     3.391   118.549   152.242         0         0   
    14.87      37.8   86.6539         0     155.2     3.873   119.037   152.011         0         0   
    15.27     38.02   85.5418         0       153     4.865   119.501     151.8         0         0   
    15.68     38.09   84.3675         0     151.1     5.308   119.953   151.517         0         0   
    16.08     37.81   83.2894         0       150     5.178   120.374   151.184         0         0   
    16.48     37.35   82.1901         0     150.1     5.031   120.775   150.788         0         0   
    16.88     37.22   81.1439         0     150.2     4.808   121.159   150.496         0         0   
    17.28     37.58   80.0939         0     150.3     4.512   121.525   150.319         0         0   
    17.69     38.05   79.0099         0     150.3     4.325   121.885   150.154         0         0   
    18.09     38.55   78.0704         0     150.5     4.283   122.221   150.063         0         0   
    18.49     39.15   77.0584         0     150.7     4.187   122.543   149.958         0         0   
    18.89     39.77   76.1561         0     151.3     4.309   122.852   149.914         0         0   
    19.29      40.6    75.199         0       152     4.302   123.149   149.896         0         0   
     19.7     41.76   74.3062         0     152.8     4.196   123.442    150.01         0         0   
     20.1     42.84   73.4146         0       153     4.191   123.716   150.102         0         0   
     20.5      43.7   72.5823         0     153.1     4.314    123.98   150.163         0         0   
     20.9     44.38   71.7433         0     152.9     4.145   124.234    150.17         0         0   
     21.3     44.82   70.9499         0     151.6     3.687    124.48   150.126         0         0   
     21.7     44.82   70.1629         0     150.9      3.23   124.716   149.953         0         0   
    22.11     44.58   69.3913         0     150.7     3.021    124.95   149.717         0         0   
    22.51     44.29   68.6564         0     150.3     3.301   125.171   149.476         0         0   
    22.91     43.94   67.9407         0     149.8     3.622   125.384   149.224         0         0   
    23.31      43.5   67.2489         0     149.5     3.622    125.59   148.955         0         0   
    23.71     43.37   66.5702         0     149.7     3.438   125.789    148.78         0         0   
    24.12     43.75   65.8891         0       150     3.325   125.987   148.755         0         0   
    24.52     44.61   65.2262         0     150.1     3.189   126.173   148.877         0         0   
