!# Results of ROTMAS saved at 12-Oct-2007 (17:43:57)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 116.816
!# Red. Chi-square (N=94,n=3) : 1.283695
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    10.110500   107.653999     0.600774     1.000000 
!# Parameter error :     1.790603     2.826272     0.120208     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4019      1.03   33.5187         0     23.77     5.576    32.661   46.8114         0         0   
   0.8039    -1.568   53.6335         0      42.3     6.204   45.3607    70.226         0         0   
    1.206     -3.98   62.2514         0     56.24     6.558   54.5821   82.6958         0         0   
    1.608    -5.708   66.1156         0     67.49     6.965   61.9443   90.4201         0         0   
     2.01    -7.393   65.4629         0     76.42     7.424   68.0944   94.1678         0         0   
    2.412    -9.243   65.7514         0     84.69      5.94   73.3706    98.087         0         0   
    2.814    -10.85   66.1993         0     91.77     5.494   77.9782   101.711         0         0   
    3.216     -11.5    67.696         0     99.19     4.859   82.0536   105.751         0         0   
    3.617    -10.98   70.0539         0     106.3     4.307   85.6846   110.131         0         0   
    4.019    -10.05   72.6217         0     113.5     4.031   88.9605   114.398         0         0   
    4.421    -9.169   75.6823         0     121.5     4.653   91.9265   118.719         0         0   
    4.823    -7.911   80.2426         0     128.6     5.635   94.6254   123.815         0         0   
    5.225    -5.975    87.158         0     133.9     6.663   97.0918   130.337         0         0   
    5.627    -1.655   92.3488         0     138.2     7.271   99.3539   135.635         0         0   
    6.029     5.834   94.8632         0     140.4     7.032   101.435   139.004         0         0   
    6.431     8.627   96.3747         0     142.4     5.534   103.355    141.58         0         0   
    6.833     10.96   97.7714         0     142.8     3.916   105.131   143.986         0         0   
    7.235      13.1   97.8846         0     142.9     4.516   106.777   145.445         0         0   
    7.637     15.21   97.2668         0     143.2     6.099   108.305   146.363         0         0   
    8.039     17.31   96.5615         0     144.5      6.82   109.726   147.185         0         0   
    8.441        19   95.9794         0       146     6.666    111.05   148.004         0         0   
    8.843     20.81   94.6935         0     147.1     6.148   112.285    148.35         0         0   
    9.245     22.47   93.6967         0     148.4     5.116   113.438   148.836         0         0   
    9.647     23.63   92.7751         0     149.9     3.861   114.516   149.263         0         0   
    10.05     24.99   92.2876         0     151.1     3.192   115.527    149.96         0         0   
    10.45     26.36    91.504         0       152     3.271   116.468   150.441         0         0   
    10.85     27.22   90.9544         0     152.6     3.623    117.35   150.946         0         0   
    11.25     27.75   90.0049         0     153.4     3.846   118.177   151.118         0         0   
    11.66     28.72   88.9276         0     154.5     3.963   118.973   151.286         0         0   
    12.06     30.19   87.8998         0     155.7     3.685   119.701   151.546         0         0   
    12.46      32.1   86.7402         0     156.9     3.314   120.386   151.813         0         0   
    12.86     34.06   85.6179         0     157.8      3.22   121.031   152.115         0         0   
    13.26     35.71   84.3808         0     158.5     3.254   121.636   152.285         0         0   
    13.67     36.67   83.0748         0     158.7     3.245    122.22   152.263         0         0   
    14.07      37.2   82.0307         0       158     3.218   122.756   152.256         0         0   
    14.47     37.54   80.9913         0     156.6     3.391    123.26    152.19         0         0   
    14.87      37.8   79.9047         0     155.2     3.873   123.735   152.065         0         0   
    15.27     38.02   78.8792         0       153     4.865   124.181   151.949         0         0   
    15.68     38.09   77.7964         0     151.1     5.308   124.612   151.761         0         0   
    16.08     37.81   76.8023         0       150     5.178   125.008   151.509         0         0   
    16.48     37.35   75.7886         0     150.1     5.031    125.38   151.192         0         0   
    16.88     37.22   74.8238         0     150.2     4.808    125.73    150.97         0         0   
    17.28     37.58   73.8557         0     150.3     4.512   126.059   150.857         0         0   
    17.69     38.05    72.856         0     150.3     4.325   126.376   150.754         0         0   
    18.09     38.55   71.9898         0     150.5     4.283   126.667   150.709         0         0   
    18.49     39.15   71.0565         0     150.7     4.187    126.94    150.65         0         0   
    18.89     39.77   70.2246         0     151.3     4.309   127.196   150.639         0         0   
    19.29      40.6    69.342         0       152     4.302   127.437   150.655         0         0   
     19.7     41.76   68.5187         0     152.8     4.196   127.668   150.791         0         0   
     20.1     42.84   67.6966         0       153     4.191   127.879   150.901         0         0   
     20.5      43.7   66.9291         0     153.1     4.314   128.077   150.973         0         0   
     20.9     44.38   66.1555         0     152.9     4.145   128.261   150.987         0         0   
     21.3     44.82   65.4239         0     151.6     3.687   128.434   150.945         0         0   
     21.7     44.82   64.6981         0     150.9      3.23   128.595   150.769         0         0   
    22.11     44.58   63.9867         0     150.7     3.021   128.748   150.525         0         0   
    22.51     44.29   63.3089         0     150.3     3.301   128.887   150.271         0         0   
    22.91     43.94    62.649         0     149.8     3.622   129.016   150.002         0         0   
    23.31      43.5   62.0111         0     149.5     3.622   129.135   149.712         0         0   
    23.71     43.37   61.3852         0     149.7     3.438   129.245   149.511         0         0   
    24.12     43.75   60.7571         0       150     3.325   129.349   149.455         0         0   
    24.52     44.61   60.1459         0     150.1     3.189   129.442   149.542         0         0   
    24.92     45.96   59.5845         0     149.9     3.226   129.527     149.8         0         0   
    25.32     47.34   59.0098         0     149.5     3.286   129.605   150.069         0         0   
    25.72     48.33   58.4729         0     149.1     3.473   129.675   150.235         0         0   
    26.13     49.19   57.9216         0     148.6     3.666    129.74   150.356         0         0   
    26.53     49.93   57.4079         0     148.2     3.855   129.796   150.452         0         0   
    26.93     50.46   56.9055         0     148.3     3.964   129.846   150.481         0         0   
    27.33     50.86   56.4127         0     148.2     3.947    129.89   150.468         0         0   
    27.73     51.14   55.9395         0     147.9     4.233   129.928   150.419         0         0   
    28.14      51.3   55.4591         0     146.8      4.21   129.962   150.324         0         0   
    28.54     51.41   55.0097         0     146.5     4.496   129.989    150.22         0         0   
    28.94     51.44   54.5653         0     146.1     4.574   130.011   150.088         0         0   
    29.34     51.32   54.1331         0     145.5     4.833   130.028   149.905         0         0   
    29.74     50.99   53.7158         0     145.4     4.866   130.041   149.653         0         0   
    30.15      50.8   53.2906         0     145.2     4.686   130.049   149.443         0         0   
    30.55     50.75   52.8838         0     145.2     4.502   130.053   149.285         0         0   
    30.95     50.69   52.4987         0     145.2     4.604   130.052   149.128         0         0   
    31.35     50.54   52.1168         0     145.1     4.507   130.048   148.939         0         0   
    31.75     50.48   51.7437         0     145.8     4.427    130.04   148.781         0         0   
    32.16     50.59   51.3745         0     146.6     4.296   130.027    148.68         0         0   
    32.56     50.71   51.0144         0     146.8     4.231   130.012   148.584         0         0   
    32.96     50.72    50.674         0       147      4.52   129.993   148.454         0         0   
    33.36     50.63   50.3276         0     146.8     4.675   129.971   148.286         0         0   
    33.76     50.63   49.9989         0     147.1     4.806   129.946   148.153         0         0   
    34.17     50.83   49.6624         0       148     5.279   129.917   148.083         0         0   
    34.57     51.15   49.3436         0     148.7     5.226   129.886   148.059         0         0   
    34.97     51.54   49.0326         0       149     4.756   129.852   148.062         0         0   
    35.37     51.99   48.7244         0     149.1     4.419   129.816   148.085         0         0   
    35.77     52.37   48.4292         0     147.9     4.317   129.777   148.088         0         0   
    36.17     52.53   48.1302         0     147.5     4.079   129.736   148.011         0         0   
