!# Results of ROTMAS saved at 15-Oct-2007 (08:02:28)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 26.2499
!# Red. Chi-square (N=105,n=4) : 0.259900
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     3.875470    57.981800     0.883542     0.331046     1.000000 
!# Parameter error :     0.981094    27.784328     0.078803     0.039557     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    3.001    -12.85   164.201   162.286     253.2      7.47   83.9637   245.323         0         0   
    3.216     -12.6   171.552   155.766     247.9     11.38   88.4082    247.69         0         0   
     3.43    -12.26   178.564   150.496     251.5     19.33   92.6186   250.922         0         0   
    3.644    -12.75    184.89   145.217     242.7     13.94   96.6241   253.862         0         0   
    3.859    -13.21   190.097   141.081     254.9      4.77   100.451    256.82         0         0   
    4.073    -14.08    194.31   136.702     254.7     6.105   104.072   258.991         0         0   
    4.287    -12.74   197.516   133.167     253.1     10.99   107.515   261.042         0         0   
    4.502    -12.21    199.77   129.619     260.5     7.047   110.804   262.369         0         0   
    4.716    -11.38   201.169    126.52     263.4     9.199   113.918   263.294         0         0   
     4.93    -8.553    201.92   123.602     262.2      12.1   116.881   263.889         0         0   
    5.145    -4.056   202.441   120.843     266.7     10.38   119.714   264.387         0         0   
    5.359    -1.122   202.485   118.373     267.4     11.73     122.4   264.561         0         0   
    5.574    -5.985     201.8   115.908     267.4      13.5    124.97   264.082         0         0   
    5.788    -8.126   200.874   113.809     268.1     13.27   127.409   263.571         0         0   
