!# Results of ROTMAS saved at 15-Oct-2007 (16:07:17)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 4223.71
!# Red. Chi-square (N=105,n=2) : 41.006916
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :     0.441304     0.451430     1.000000     1.000000     1.000000 
!# Parameter error :   414.131714  7930.767578     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    3.001    -12.85   285.386    172.65     253.2      7.47   0.572307   333.299         0         0   
    3.216     -12.6   298.161   165.714     247.9     11.38   0.571932   340.885         0         0   
     3.43    -12.26   310.348   160.107     251.5     19.33   0.571138   348.999         0         0   
    3.644    -12.75   321.344   154.491     242.7     13.94   0.57001   356.325         0         0   
    3.859    -13.21   330.393   150.091     254.9      4.77   0.568607   362.647         0         0   
    4.073    -14.08   337.716   145.432     254.7     6.105   0.566996    367.43         0         0   
    4.287    -12.74   343.287   141.672     253.1     10.99   0.565212   371.154         0         0   
    4.502    -12.21   347.205   137.897     260.5     7.047   0.563281   373.387         0         0   
    4.716    -11.38   349.636     134.6     263.4     9.199   0.56125   374.477         0         0   
     4.93    -8.553   350.942   131.496     262.2      12.1   0.559133   374.671         0         0   
    5.145    -4.056   351.848   128.561     266.7     10.38   0.556939   374.578         0         0   
    5.359    -1.122   351.923   125.933     267.4     11.73   0.554703   373.775         0         0   
    5.574    -5.985   350.733    123.31     267.4      13.5   0.552418    371.73         0         0   
    5.788    -8.126   349.124   121.077     268.1     13.27   0.550116   369.434         0         0   
    6.002    -8.397   346.828   118.696     265.7     13.41   0.547795   366.481         0         0   
    6.217     -5.67   344.408   116.642     261.4     12.31   0.545453    363.58         0         0   
    6.431    -5.352    341.56   114.571     260.8     11.89   0.543117   360.224         0         0   
    6.645     3.806   338.775   112.697     257.5     9.699   0.540781   357.049         0         0   
     6.86     6.812   336.395   110.861     258.7     8.035   0.538439   354.258         0         0   
    7.074     6.615    333.78    109.13       258     5.408   0.536117    351.23         0         0   
    7.289     3.505   331.545   107.588     257.8      5.18   0.533795   348.583         0         0   
    7.503     5.449   329.169   105.896     259.6     5.583   0.531498   345.827         0         0   
    7.717     7.855   326.793   104.464     259.6     7.152   0.529218   343.174         0         0   
    7.932     8.635   324.492   102.944     260.6     8.473   0.526945    340.54         0         0   
    8.146     9.936   322.117   101.605     262.8     11.09   0.524702   337.908         0         0   
     8.36      13.5   319.428   100.238     263.4     12.88   0.522479   335.059         0         0   
    8.575     16.59   316.447   98.9776     264.8     14.64   0.520268    331.98         0         0   
    8.789     18.38    313.69   97.8349     263.8     15.44   0.518089   329.107         0         0   
    9.003     18.83   310.617   96.5527     263.4     15.76   0.515933   325.822         0         0   
    9.218     18.32   307.479   95.4702     259.6     13.86   0.51379   322.481         0         0   
    9.432      17.8   304.696   94.3008     256.6     14.45   0.511681   319.452         0         0   
    9.647     18.81   302.088   93.2765     251.5     13.04   0.509585    316.72         0         0   
    9.861     19.93   299.355   92.3361     249.5     13.04   0.507524   313.906         0         0   
    10.08     20.42   296.783   91.2185     248.3     13.14   0.505439   311.156         0         0   
    10.29     21.84   294.627   90.3415       248     13.92   0.503463    308.94         0         0   
     10.5     24.44   292.369   89.3432     248.6     15.03   0.50151   306.691         0         0   
    10.72     27.51   290.071    88.469     246.3     13.46   0.499488   304.508         0         0   
    10.93     28.02    288.07   87.5455     248.8     15.19   0.497582    302.38         0         0   
    11.15     28.85   286.058   86.7124     248.8     14.55   0.495609   300.301         0         0   
    11.36     30.56   284.026   85.9702     249.7     14.31   0.493748   298.322         0         0   
    11.58     32.23   281.898   85.0623     250.2     14.79   0.491822   296.211         0         0   
    11.79     33.17   280.017   84.3533     249.7     13.01   0.490007   294.322         0         0   
       12     34.18   278.041   83.5383       251     11.38   0.488212   292.325         0         0   
    12.22     35.26   276.044   82.8245     249.2     11.28   0.486355   290.351         0         0   
    12.43     35.98   274.338   82.0622     250.3     10.97   0.484604   288.601         0         0   
    12.65     35.82   272.431   81.3785       250     10.75   0.482792   286.574         0         0   
    12.86     35.11   270.387   80.7644       251     9.954   0.481083   284.368         0         0   
    13.08     34.76   268.272   80.0099     250.1     10.23   0.479314   282.099         0         0   
    13.29     34.06    266.37   79.4213       248     11.56   0.477646   280.038         0         0   
    13.51     33.83   264.383   78.7118     246.5     11.68   0.475919   277.918         0         0   
    13.72     33.86   262.536   78.1421     245.6     11.06   0.47429   276.004         0         0   
    13.93     34.27    260.84   77.4995     244.8     10.32   0.47268    274.26         0         0   
    14.15      35.2   259.312   76.9245     243.5      9.46   0.471014   272.762         0         0   
    14.36     35.99   257.855   76.4055     243.1     8.674   0.469441   271.335         0         0   
    14.58     37.68   256.351   75.7656     243.6     8.475   0.467813   269.956         0         0   
    14.79     38.89   254.926   75.2664     243.1     7.548   0.466277   268.635         0         0   
    15.01     39.05   253.592   74.6601     241.4     7.192   0.464687   267.223         0         0   
    15.22     39.68   252.236   74.1755     240.4     7.384   0.463186   265.894         0         0   
    15.43     39.94   251.029   73.7126     239.3     6.595   0.461702   264.659         0         0   
    15.65     41.45   250.089   73.1319     238.8     12.44   0.460165   263.839         0         0   
    15.86     43.06   249.064   72.6856     239.2     6.425   0.458715   263.003         0         0   
    16.08     44.09   247.928   72.1338     239.6     6.707   0.457212   261.946         0         0   
    16.29     44.86   246.914   71.7037       240     7.201   0.455794   260.999         0         0   
    16.51     46.11   246.084   71.1776     240.5      7.69   0.454324   260.288         0         0   
    16.72     47.68   245.228   70.7589     241.1     7.845   0.452937   259.648         0         0   
    16.94     48.74   244.379   70.3374     242.1     7.967    0.4515   258.929         0         0   
    17.15     49.42   243.464   69.8513     242.5      8.44   0.450143   258.063         0         0   
    17.36     50.16    242.73   69.4622     243.1     8.508    0.4488   257.408         0         0   
    17.58     50.89   241.831     68.98     243.5     8.693   0.447408   256.574         0         0   
    17.79     51.51   240.852   68.6042       244     9.866   0.446094   255.675         0         0   
    18.01     52.69   239.766   68.1421     242.3     9.043   0.444732    254.77         0         0   
    18.22     53.61    238.95   67.7755     242.3     9.646   0.443446   254.096         0         0   
    18.44     54.29   237.976   67.4043     242.4     9.888   0.442112   253.226         0         0   
    18.65     55.25   236.869   66.9767     241.9     9.333   0.440852   252.281         0         0   
    18.86     56.43   235.934   66.6336     242.8     8.928   0.439605   251.574         0         0   
    19.08     57.18   234.972   66.2074     242.3     8.317   0.438312   250.729         0         0   
    19.29     57.94   234.083   65.8754     240.8     8.601   0.437091   249.983         0         0   
    19.51      58.6   233.121   65.4652     240.2     9.203   0.435824   249.129         0         0   
    19.72     59.38   232.389   65.1407     239.7     8.832   0.434626   248.544         0         0   
    19.94     60.12   231.732   64.8106     239.7     8.831   0.433385   248.022         0         0   
    20.15     61.19   231.114   64.4306       239     9.069   0.432211   247.607         0         0   
    20.37     62.53   230.522   64.1106     238.5     8.721   0.430994   247.307         0         0   
    20.58     63.98   230.169   63.7447     239.2     7.779   0.429844   247.254         0         0   
    20.79     65.15   229.713   63.4487     238.6     8.341   0.428705    247.06         0         0   
    21.01     65.36   228.935   63.0815     238.3     7.595   0.427522   246.298         0         0   
    21.22     65.42   228.154   62.7916     238.9      7.42   0.426405   245.514         0         0   
    21.44     66.27   227.368   62.4954     238.5     8.039   0.425245   244.936         0         0   
    21.65        66   226.402   62.1548     240.5     7.741   0.424149    243.88         0         0   
    21.87     65.41   225.232   61.8675     242.2     4.737   0.423011   242.561         0         0   
    22.08     64.47   224.156   61.5384     242.5     5.532   0.421935   241.225         0         0   
    22.29     63.09   223.136   61.2722     243.4     6.043   0.420869   239.843         0         0   
    22.51     61.67   222.028   60.9975       245     5.868   0.419763    238.37         0         0   
    22.72     61.15   221.164   60.6798     245.1     6.338   0.418716    237.35         0         0   
    22.94     60.55   220.476   60.4122     243.9     5.761   0.41763   236.486         0         0   
    23.15     60.12    219.82   60.1046     245.3     8.139   0.416602   235.686         0         0   
    23.37     59.69   219.095   59.8447     246.7     7.523   0.415536   234.834         0         0   
    23.58     59.38   218.489   59.5465     246.2     8.734   0.414527   234.114         0         0   
    23.79     59.12   217.523   59.3056     247.3     8.251   0.413526   233.085         0         0   
    24.01     58.44   216.622   59.0559     245.9     8.837   0.412488   232.009         0         0   
    24.22     57.94   215.853    58.768     247.9      8.39   0.411505   231.092         0         0   
    24.44     57.76   215.216   58.5246     250.2     9.062   0.410484    230.39         0         0   
    24.65     57.68   214.814   58.2449     250.8     8.984   0.409519   229.923         0         0   
    24.87     57.52   214.624   58.0083       253     7.802   0.408516   229.646         0         0   
    25.08     57.44   214.548   57.7366     253.6     8.535   0.407567   229.486         0         0   
     25.3     57.25   214.257   57.5065     255.1     8.489   0.406581   229.109         0         0   
