!# Results of ROTMAS saved at 15-Oct-2007 (16:08:05)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 27.1961
!# Red. Chi-square (N=105,n=4) : 0.269268
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :     9.258570   171.233994     0.689959     0.353900     1.000000 
!# Parameter error :     1.174438     8.149606     0.073992     0.021844     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    3.001    -12.85   169.775    143.41     253.2      7.47   99.6735   243.227         0         0   
    3.216     -12.6   177.374   137.648     247.9     11.38   102.646   246.548         0         0   
     3.43    -12.26   184.624   132.991     251.5     19.33   105.461   250.489         0         0   
    3.644    -12.75   191.166   128.326     242.7     13.94   108.146   254.057         0         0   
    3.859    -13.21   196.549   124.671     254.9      4.77   110.724    257.41         0         0   
    4.073    -14.08   200.906   120.801     254.7     6.105   113.181   259.938         0         0   
    4.287    -12.74    204.22   117.678     253.1     10.99   115.535   262.183         0         0   
    4.502    -12.21    206.55   114.542     260.5     7.047   117.806   263.652         0         0   
    4.716    -11.38   207.997   111.804     263.4     9.199   119.979   264.628         0         0   
     4.93    -8.553   208.774   109.226     262.2      12.1    122.07   265.226         0         0   
    5.145    -4.056   209.313   106.788     266.7     10.38   124.094   265.703         0         0   
    5.359    -1.122   209.357   104.605     267.4     11.73   126.036   265.813         0         0   
    5.574    -5.985   208.649   102.426     267.4      13.5   127.919   265.241         0         0   
    5.788    -8.126   207.692   100.571     268.1     13.27   129.729   264.602         0         0   
    6.002    -8.397   206.326   98.5934     265.7     13.41   131.479   263.643         0         0   
    6.217     -5.67   204.887   96.8872     261.4     12.31    133.18   262.812         0         0   
    6.431    -5.352   203.192    95.167     260.8     11.89   134.819   261.708         0         0   
    6.645     3.806   201.536   93.6104     257.5     9.699   136.406   260.769         0         0   
     6.86     6.812    200.12   92.0853     258.7     8.035   137.951   260.009         0         0   
    7.074     6.615   198.564   90.6475       258     5.408   139.443     259.1         0         0   
    7.289     3.505   197.234   89.3666     257.8      5.18   140.897   258.364         0         0   
    7.503     5.449   195.821   87.9612     259.6     5.583   142.301   257.609         0         0   
    7.717     7.855   194.408   86.7717     259.6     7.152   143.665   256.953         0         0   
    7.932     8.635   193.039   85.5092     260.6     8.473   144.997    256.27         0         0   
    8.146     9.936   191.626   84.3969     262.8     11.09   146.285   255.619         0         0   
     8.36      13.5   190.026   83.2615     263.4     12.88   147.537   254.935         0         0   
    8.575     16.59   188.253   82.2145     264.8     14.64   148.761   254.172         0         0   
    8.789     18.38   186.613   81.2654     263.8     15.44   149.947   253.476         0         0   
    9.003     18.83   184.784   80.2003     263.4     15.76   151.101   252.514         0         0   
    9.218     18.32   182.918   79.3011     259.6     13.86    152.23    251.51         0         0   
    9.432      17.8   181.262   78.3298     256.6     14.45   153.324   250.633         0         0   
    9.647     18.81   179.711    77.479     251.5     13.04   154.396   249.981         0         0   
    9.861     19.93   178.085   76.6978     249.5     13.04   155.435   249.307         0         0   
    10.08     20.42   176.555   75.7695     248.3     13.14   156.471   248.622         0         0   
    10.29     21.84   175.272   75.0411       248     13.92   157.441   248.226         0         0   
     10.5     24.44   173.929   74.2118     248.6     15.03   158.386   247.875         0         0   
    10.72     27.51   172.562   73.4857     246.3     13.46   159.353   247.645         0         0   
    10.93     28.02   171.371   72.7186     248.8     15.19   160.253   247.229         0         0   
    11.15     28.85   170.174   72.0266     248.8     14.55   161.174   246.894         0         0   
    11.36     30.56   168.966   71.4101     249.7     14.31   162.032   246.652         0         0   
    11.58     32.23     167.7    70.656     250.2     14.79   162.909   246.361         0         0   
    11.79     33.17   166.581    70.067     249.7     13.01   163.727     246.1         0         0   
       12     34.18   165.405   69.3901       251     11.38   164.527   245.787         0         0   
    12.22     35.26   164.217   68.7971     249.2     11.28   165.345   245.525         0         0   
    12.43     35.98   163.202    68.164     250.3     10.97   166.108   245.291         0         0   
    12.65     35.82   162.068   67.5961       250     10.75   166.889   244.888         0         0   
    12.86     35.11   160.852    67.086       251     9.954   167.618   244.341         0         0   
    13.08     34.76   159.594   66.4592     250.1     10.23   168.365   243.807         0         0   
    13.29     34.06   158.462   65.9703       248     11.56   169.062    243.32         0         0   
    13.51     33.83    157.28    65.381     246.5     11.68   169.776   242.858         0         0   
    13.72     33.86   156.181   64.9078     245.6     11.06   170.443   242.493         0         0   
    13.93     34.27   155.172    64.374     244.8     10.32   171.095    242.22         0         0   
    14.15      35.2   154.263   63.8964     243.5      9.46   171.764    242.12         0         0   
    14.36     35.99   153.397   63.4653     243.1     8.674   172.389   242.016         0         0   
    14.58     37.68   152.502   62.9338     243.6     8.475   173.029   242.026         0         0   
    14.79     38.89   151.654   62.5191     243.1     7.548   173.627   242.005         0         0   
    15.01     39.05   150.861   62.0155     241.4     7.192   174.241   241.846         0         0   
    15.22     39.68   150.054    61.613     240.4     7.384   174.814   241.758         0         0   
    15.43     39.94   149.336   61.2285     239.3     6.595   175.376   241.665         0         0   
    15.65     41.45   148.777   60.7461     238.8     12.44   175.952   241.872         0         0   
    15.86     43.06   148.167   60.3754     239.2     6.425   176.491   242.078         0         0   
    16.08     44.09   147.491    59.917     239.6     6.707   177.043    242.14         0         0   
    16.29     44.86   146.888   59.5598       240     7.201    177.56   242.205         0         0   
    16.51     46.11   146.394   59.1228     240.5      7.69    178.09   242.423         0         0   
    16.72     47.68   145.885    58.775     241.1     7.845   178.586     242.7         0         0   
    16.94     48.74    145.38   58.4249     242.1     7.967   179.095   242.898         0         0   
    17.15     49.42   144.836   58.0211     242.5      8.44   179.571   242.965         0         0   
    17.36     50.16   144.399   57.6979     243.1     8.508   180.038   243.125         0         0   
    17.58     50.89   143.864   57.2974     243.5     8.693   180.517    243.22         0         0   
    17.79     51.51   143.282   56.9852       244     9.866   180.966   243.267         0         0   
    18.01     52.69   142.636   56.6014     242.3     9.043   181.426   243.393         0         0   
    18.22     53.61    142.15   56.2969     242.3     9.646   181.857   243.561         0         0   
    18.44     54.29   141.571   55.9885     242.4     9.888   182.299   243.634         0         0   
    18.65     55.25   140.912   55.6334     241.9     9.333   182.713   243.696         0         0   
    18.86     56.43   140.356   55.3484     242.8     8.928   183.119   243.886         0         0   
    19.08     57.18   139.784   54.9944     242.3     8.317   183.536   243.965         0         0   
    19.29     57.94   139.255   54.7186     240.8     8.601   183.927   244.074         0         0   
    19.51      58.6   138.683   54.3779     240.2     9.203   184.328   244.132         0         0   
    19.72     59.38   138.247   54.1083     239.7     8.832   184.703   244.297         0         0   
    19.94     60.12   137.856   53.8341     239.7     8.831   185.089   244.489         0         0   
    20.15     61.19   137.489   53.5185       239     9.069    185.45   244.752         0         0   
    20.37     62.53   137.136   53.2527     238.5     8.721   185.821   245.116         0         0   
    20.58     63.98   136.926   52.9488     239.2     7.779   186.169    245.57         0         0   
    20.79     65.15   136.655   52.7029     238.6     8.341    186.51   245.932         0         0   
    21.01     65.36   136.192   52.3979     238.3     7.595    186.86   245.932         0         0   
    21.22     65.42   135.728   52.1571     238.9      7.42   187.188    245.89         0         0   
    21.44     66.27    135.26    51.911     238.5     8.039   187.526   246.064         0         0   
    21.65        66   134.685   51.6281     240.5     7.741   187.842   245.858         0         0   
    21.87     65.41   133.989   51.3895     242.2     4.737   188.166   245.518         0         0   
    22.08     64.47   133.349   51.1161     242.5     5.532    188.47   245.097         0         0   
    22.29     63.09   132.742    50.895     243.4     6.043   188.769   244.591         0         0   
    22.51     61.67   132.083   50.6668       245     5.868   189.076   244.061         0         0   
    22.72     61.15   131.569   50.4029     245.1     6.338   189.363   243.821         0         0   
    22.94     60.55    131.16   50.1807     243.9     5.761   189.659   243.635         0         0   
    23.15     60.12    130.77   49.9251     245.3     8.139   189.936   243.481         0         0   
    23.37     59.69   130.339   49.7093     246.7     7.523    190.22   243.322         0         0   
    23.58     59.38   129.978   49.4616     246.2     8.734   190.487   243.212         0         0   
    23.79     59.12   129.403   49.2615     247.3     8.251   190.748   243.006         0         0   
    24.01     58.44   128.867   49.0541     245.9     8.837   191.017   242.726         0         0   
    24.22     57.94    128.41   48.8149     247.9      8.39   191.269   242.514         0         0   
    24.44     57.76   128.031   48.6127     250.2     9.062   191.529   242.435         0         0   
    24.65     57.68   127.792   48.3804     250.8     8.984   191.771   242.435         0         0   
    24.87     57.52   127.679   48.1839       253     7.802   192.021   242.496         0         0   
    25.08     57.44   127.634   47.9582     253.6     8.535   192.255   242.593         0         0   
     25.3     57.25    127.46   47.7671     255.1     8.489   192.495    242.61         0         0   
