!# Results of ROTMAS saved at 12-May-2008 (13:18:37)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 159.379
!# Red. Chi-square (N=41,n=2) : 4.086645
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     1.982750    95.725502     0.710000     1.000000 
!# Parameter error :     0.222868    10.745884     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1139   -0.7374   15.5017         0      18.2     2.821   4.73636   13.8746         0         0   
   0.2278    0.8858   25.2292         0     29.11     2.346   9.44482    23.279         0         0   
   0.3417     2.077   29.6487         0        38      2.68   14.0985   28.7611         0         0   
   0.4555     1.452   33.3287         0     46.19     2.261   18.6684   33.7534         0         0   
   0.5694     1.051   38.0745         0      50.3     2.172   23.1405   39.5708         0         0   
   0.6833     1.204   41.2144         0     52.95     2.304   27.4916   44.3087         0         0   
   0.7972    0.7131   43.6032         0     55.28     2.099   31.7062   48.5352         0         0   
   0.9111    0.4738   46.1601         0     57.42     2.093   35.7724   52.8462         0         0   
    1.025    0.8499   48.0265         0     59.77     1.904   39.6817   56.6834         0         0   
    1.139    -0.874    48.834         0     61.65     2.062   43.4323   59.8229         0         0   
    1.253    0.7508   49.2313         0     63.17     2.212   47.0182   62.7066         0         0   
    1.367     1.489   49.7325         0     64.92     2.379   50.4394   65.5927         0         0   
     1.48     3.598   51.0487         0     66.63     2.614   53.6701   68.8742         0         0   
    1.594      6.02   52.8327         0     67.73     3.001    56.771   72.3948         0         0   
    1.708     7.826    54.609         0     69.46     2.897   59.7176   75.7942         0         0   
    1.822     9.023   56.2645         0     72.15     2.772   62.5157   78.9764         0         0   
    1.936     9.767   57.7028         0     74.37     2.782   65.1715   81.8947         0         0   
     2.05     10.29   58.6346         0     76.62     2.698   67.6916   84.4336         0         0   
    2.164     10.85   58.7814         0     78.99     3.035   70.0828   86.5018         0         0   
    2.278      11.5   58.3436         0     81.48     3.381    72.352   88.2263         0         0   
    2.392     11.95   57.9716         0     84.67     3.858   74.5059    89.889         0         0   
    2.505     12.08   58.1728         0     87.62     4.263   76.5335   91.6842         0         0   
    2.619     12.01   58.8302         0     90.35     4.127   78.4771   93.5959         0         0   
    2.733     11.59    59.169         0     92.93     3.528   80.3242    95.247         0         0   
    2.847     11.24   58.8395         0     94.93     3.356   82.0807   96.5488         0         0   
    2.961     11.99   58.5657         0     96.82     3.431   83.7521    97.946         0         0   
    3.075     14.25   58.3585         0     98.94     3.402   85.3434   99.5219         0         0   
    3.189     16.99   58.9478         0     101.1     3.516   86.8595   101.491         0         0   
    3.303     19.33   59.4798         0     103.4     3.724   88.3051    103.36         0         0   
    3.417     21.28   59.7085         0     105.6     3.722   89.6842   105.011         0         0   
     3.53     22.34   59.3818         0     107.6     3.735   90.9897   106.216         0         0   
    3.644     22.68   58.8063         0     109.5     3.808   92.2484   107.142         0         0   
    3.758     23.18    58.142         0     110.5      3.67   93.4518   108.031         0         0   
    3.872     24.26   57.7147         0     111.7     3.572   94.6033   109.102         0         0   
    3.986     25.52   57.2333         0     113.3     3.325   95.7058   110.166         0         0   
      4.1     26.37    56.737         0     114.9     3.373   96.7622   111.103         0         0   
    4.214     26.85   56.2352         0     115.9     3.582   97.7751    111.92         0         0   
    4.328     27.42   55.6393         0     116.6     3.921   98.7469   112.698         0         0   
    4.441     28.22   55.0947         0     117.3     4.176   99.6719   113.517         0         0   
    4.555     28.88   54.7017         0     117.9     4.435   100.569   114.336         0         0   
    4.669     29.37   54.4076         0     117.6     4.951   101.431    115.12         0         0   
