!# Results of ROTMAS saved at 12-Oct-2007 (16:22:12)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 88.2743
!# Red. Chi-square (N=41,n=2) : 2.263443
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     3.523590    50.880402     1.000000     1.000000 
!# Parameter error :     0.508871     4.788574     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1139   -0.7374   15.5017         0      18.2     2.821   3.45541    15.865         0         0   
   0.2278    0.8858   25.2292         0     29.11     2.346   6.90433   26.1719         0         0   
   0.3417     2.077   29.6487         0        38      2.68   10.3404   31.4688         0         0   
   0.4555     1.452   33.3287         0     46.19     2.261   13.7543   36.0845         0         0   
   0.5694     1.051   38.0745         0      50.3     2.172    17.146   41.7703         0         0   
   0.6833     1.204   41.2144         0     52.95     2.304   20.5068     46.05         0         0   
   0.7972    0.7131   43.6032         0     55.28     2.099   23.8313   49.6958         0         0   
   0.9111    0.4738   46.1601         0     57.42     2.093   27.1143   53.5366         0         0   
    1.025    0.8499   48.0265         0     59.77     1.904   30.3514   56.8197         0         0   
    1.139    -0.874    48.834         0     61.65     2.062    33.541   59.2368         0         0   
    1.253    0.7508   49.2313         0     63.17     2.212   36.6767    61.396         0         0   
    1.367     1.489   49.7325         0     64.92     2.379   39.7552   63.6868         0         0   
     1.48     3.598   51.0487         0     66.63     2.614   42.7474   66.6803         0         0   
    1.594      6.02   52.8327         0     67.73     3.001   45.7041   70.1171         0         0   
    1.708     7.826    54.609         0     69.46     2.897   48.5967   73.5189         0         0   
    1.822     9.023   56.2645         0     72.15     2.772   51.4236   76.7561         0         0   
    1.936     9.767   57.7028         0     74.37     2.782   54.1839   79.7553         0         0   
     2.05     10.29   58.6346         0     76.62     2.698   56.8768   82.3339         0         0   
    2.164     10.85   58.7814         0     78.99     3.035   59.5021   84.3414         0         0   
    2.278      11.5   58.3436         0     81.48     3.381   62.0596   85.9513         0         0   
    2.392     11.95   57.9716         0     84.67     3.858   64.5497   87.5795         0         0   
    2.505     12.08   58.1728         0     87.62     4.263   66.9519   89.5129         0         0   
    2.619     12.01   58.8302         0     90.35     4.127   69.3093   91.7007         0         0   
    2.733     11.59    59.169         0     92.93     3.528   71.6014   93.6059         0         0   
    2.847     11.24   58.8395         0     94.93     3.356   73.8291   95.0745         0         0   
    2.961     11.99   58.5657         0     96.82     3.431   75.9937   96.6889         0         0   
    3.075     14.25   58.3585         0     98.94     3.402   78.0964   98.5283         0         0   
    3.189     16.99   58.9478         0     101.1     3.516   80.1387   100.924         0         0   
    3.303     19.33   59.4798         0     103.4     3.724   82.1219   103.225         0         0   
    3.417     21.28   59.7085         0     105.6     3.722   84.0476   105.271         0         0   
     3.53     22.34   59.3818         0     107.6     3.735   85.9012   106.791         0         0   
    3.644     22.68   58.8063         0     109.5     3.808   87.7169   108.013         0         0   
    3.758     23.18    58.142         0     110.5      3.67   89.4798   109.199         0         0   
    3.872     24.26   57.7147         0     111.7     3.572   91.1915   110.614         0         0   
    3.986     25.52   57.2333         0     113.3     3.325   92.8534   112.021         0         0   
      4.1     26.37    56.737         0     114.9     3.373   94.4672   113.307         0         0   
    4.214     26.85   56.2352         0     115.9     3.582   96.0344   114.481         0         0   
    4.328     27.42   55.6393         0     116.6     3.921   97.5564   115.606         0         0   
    4.441     28.22   55.0947         0     117.3     4.176   99.0221   116.778         0         0   
    4.555     28.88   54.7017         0     117.9     4.435   100.459   117.976         0         0   
    4.669     29.37   54.4076         0     117.6     4.951   101.855   119.152         0         0   
