!# Results of ROTMAS saved at 12-Oct-2007 (16:22:22)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 38.1942
!# Red. Chi-square (N=41,n=3) : 1.005111
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value : 7376770.000000    25.740601     1.353570     1.000000 
!# Parameter error : 23421404.000000     0.971538     0.036329     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1139   -0.7374   18.0351         0      18.2     2.821         0   18.0201         0         0   
   0.2278    0.8858   29.3524         0     29.11     2.346   2.90588   29.5092         0         0   
   0.3417     2.077   34.4942         0        38      2.68   7.11792   35.2821         0         0   
   0.4555     1.452   38.7756         0     46.19     2.261   9.63772   39.9818         0         0   
   0.5694     1.051    44.297         0      50.3     2.172   12.6664   46.0844         0         0   
   0.6833     1.204   47.9501         0     52.95     2.304   14.8171   50.2017         0         0   
   0.7972    0.7131   50.7293         0     55.28     2.099   17.4353   53.6466         0         0   
   0.9111    0.4738   53.7041         0     57.42     2.093   19.7086   57.2082         0         0   
    1.025    0.8499   55.8755         0     59.77     1.904   22.1305   60.1045         0         0   
    1.139    -0.874   56.8149         0     61.65     2.062   24.4854   61.8604         0         0   
    1.253    0.7508   57.2772         0     63.17     2.212   27.2596   63.4376         0         0   
    1.367     1.489   57.8603         0     64.92     2.379    29.348   64.8948         0         0   
     1.48     3.598   59.3916         0     66.63     2.614   32.0965   67.6054         0         0   
    1.594      6.02   61.4672         0     67.73     3.001   34.3828   70.6869         0         0   
    1.708     7.826   63.5338         0     69.46     2.897   36.7568   73.8163         0         0   
    1.822     9.023   65.4598         0     72.15     2.772     39.31   76.8875         0         0   
    1.936     9.767   67.1332         0     74.37     2.782   41.8083   79.6881         0         0   
     2.05     10.29   68.2173         0     76.62     2.698   44.1656   81.9151         0         0   
    2.164     10.85   68.3881         0     78.99     3.035   46.7657   83.5565         0         0   
    2.278      11.5   67.8787         0     81.48     3.381   49.1429    84.586         0         0   
    2.392     11.95   67.4459         0     84.67     3.858   51.6561    85.791         0         0   
    2.505     12.08     67.68         0     87.62     4.263   54.1306   87.5021         0         0   
    2.619     12.01   68.4448         0     90.35     4.127   56.5715   89.6062         0         0   
    2.733     11.59    68.839         0     92.93     3.528   58.9113   91.3437         0         0   
    2.847     11.24   68.4557         0     94.93     3.356   61.5059   92.7119         0         0   
    2.961     11.99   68.1371         0     96.82     3.431   63.9294   94.1987         0         0   
    3.075     14.25    67.896         0     98.94     3.402    66.328   95.9809         0         0   
    3.189     16.99   68.5816         0     101.1     3.516   68.8271    98.637         0         0   
    3.303     19.33   69.2006         0     103.4     3.724   71.2978   101.221         0         0   
    3.417     21.28   69.4667         0     105.6     3.722    73.743    103.52         0         0   
     3.53     22.34   69.0866         0     107.6     3.735   76.1097   105.189         0         0   
    3.644     22.68    68.417         0     109.5     3.808   78.5663   106.621         0         0   
    3.758     23.18   67.6442         0     110.5      3.67   81.1048   108.125         0         0   
    3.872     24.26    67.147         0     111.7     3.572   83.5156   109.873         0         0   
    3.986     25.52    66.587         0     113.3     3.325   86.1043   111.799         0         0   
      4.1     26.37   66.0095         0     114.9     3.373   88.4744   113.492         0         0   
    4.214     26.85   65.4257         0     115.9     3.582   90.9685   115.225         0         0   
    4.328     27.42   64.7324         0     116.6     3.921   93.4411   116.933         0         0   
    4.441     28.22   64.0988         0     117.3     4.176    95.806   118.675         0         0   
    4.555     28.88   63.6416         0     117.9     4.435   98.2858     120.6         0         0   
    4.669     29.37   63.2994         0     117.6     4.951   100.788   122.588         0         0   
