!# Results of ROTMAS saved at 12-May-2008 (13:19:14)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 80.4455
!# Red. Chi-square (N=41,n=2) : 2.062706
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     0.001493  2884.909912     0.710000     1.000000 
!# Parameter error :     0.004694    74.873543     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1139   -0.7374    13.062         0      18.2     2.821   14.8573   19.7689         0         0   
   0.2278    0.8858   21.2585         0     29.11     2.346   22.2652   30.7969         0         0   
   0.3417     2.077   24.9824         0        38      2.68    27.087   36.9072         0         0   
   0.4555     1.452   28.0833         0     46.19     2.261    31.338   42.1052         0         0   
   0.5694     1.051   32.0821         0      50.3     2.172   35.1547   47.6048         0         0   
   0.6833     1.204   34.7279         0     52.95     2.304   38.4447   51.8215         0         0   
   0.7972    0.7131   36.7407         0     55.28     2.099   41.5876    55.497         0         0   
   0.9111    0.4738   38.8952         0     57.42     2.093   44.4302   59.0517         0         0   
    1.025    0.8499   40.4678         0     59.77     1.904   47.1626   62.1505         0         0   
    1.139    -0.874   41.1483         0     61.65     2.062   49.6996   64.5172         0         0   
    1.253    0.7508    41.483         0     63.17     2.212   52.1319   66.6269         0         0   
    1.367     1.489   41.9053         0     64.92     2.379   54.4548   68.7285         0         0   
     1.48     3.598   43.0144         0     66.63     2.614    56.661   71.2296         0         0   
    1.594      6.02   44.5176         0     67.73     3.001   58.7702    73.973         0         0   
    1.708     7.826   46.0144         0     69.46     2.897   60.8412   76.6826         0         0   
    1.822     9.023   47.4093         0     72.15     2.772   62.8621   79.2509         0         0   
    1.936     9.767   48.6212         0     74.37     2.782   64.7749   81.5794         0         0   
     2.05     10.29   49.4064         0     76.62     2.698   66.6587   83.6077         0         0   
    2.164     10.85   49.5301         0     78.99     3.035   68.5048   85.2283         0         0   
    2.278      11.5   49.1612         0     81.48     3.381   70.2808   86.5359         0         0   
    2.392     11.95   48.8477         0     84.67     3.858   72.0071    87.829         0         0   
    2.505     12.08   49.0173         0     87.62     4.263   73.7016   89.3339         0         0   
    2.619     12.01   49.5712         0     90.35     4.127   75.3503   90.9902         0         0   
    2.733     11.59   49.8567         0     92.93     3.528   76.9697   92.4357         0         0   
    2.847     11.24    49.579         0     94.93     3.356   78.5654   93.5785         0         0   
    2.961     11.99   49.3483         0     96.82     3.431   80.1199   94.8589         0         0   
    3.075     14.25   49.1737         0     98.94     3.402   81.6451   96.3693         0         0   
    3.189     16.99   49.6703         0     101.1     3.516   83.1504   98.3351         0         0   
    3.303     19.33   50.1186         0     103.4     3.724    84.621   100.231         0         0   
    3.417     21.28   50.3113         0     105.6     3.722   86.0667   101.939         0         0   
     3.53     22.34    50.036         0     107.6     3.735   87.4825   103.227         0         0   
    3.644     22.68   49.5511         0     109.5     3.808   88.8817   104.258         0         0   
    3.758     23.18   48.9913         0     110.5      3.67   90.2655   105.287         0         0   
    3.872     24.26   48.6313         0     111.7     3.572   91.6223   106.528         0         0   
    3.986     25.52   48.2256         0     113.3     3.325   92.9594   107.789         0         0   
      4.1     26.37   47.8074         0     114.9     3.373   94.2831   108.951         0         0   
    4.214     26.85   47.3846         0     115.9     3.582   95.5857   110.013         0         0   
    4.328     27.42   46.8825         0     116.6     3.921   96.8656   111.053         0         0   
    4.441     28.22   46.4236         0     117.3     4.176   98.1249   112.161         0         0   
    4.555     28.88   46.0925         0     117.9     4.435   99.3723   113.285         0         0   
    4.669     29.37   45.8447         0     117.6     4.951   100.609   114.396         0         0   
