!# Results of ROTMAS saved at 12-Oct-2007 (16:24:17)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 143.382
!# Red. Chi-square (N=41,n=2) : 3.676470
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    -0.000380  2396.669922     1.000000     1.000000 
!# Parameter error :     0.000808    96.409073     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1139   -0.7374   15.5017         0      18.2     2.821   12.9927   20.2131         0         0   
   0.2278    0.8858   25.2292         0     29.11     2.346   19.3246   31.7921         0         0   
   0.3417     2.077   29.6487         0        38      2.68   24.0741   38.2481         0         0   
   0.4555     1.452   33.3287         0     46.19     2.261   28.9838   44.1925         0         0   
   0.5694     1.051   38.0745         0      50.3     2.172   32.1293   49.8304         0         0   
   0.6833     1.204   41.2144         0     52.95     2.304   35.0522   54.1178         0         0   
   0.7972    0.7131   43.6032         0     55.28     2.099   37.7807   57.6986         0         0   
   0.9111    0.4738   46.1601         0     57.42     2.093   40.3986   61.3435         0         0   
    1.025    0.8499   48.0265         0     59.77     1.904   42.8105   64.3429         0         0   
    1.139    -0.874    48.834         0     61.65     2.062   45.3382   66.6299         0         0   
    1.253    0.7508   49.2313         0     63.17     2.212   47.5296    68.435         0         0   
    1.367     1.489   49.7325         0     64.92     2.379   49.6266   70.2733         0         0   
     1.48     3.598   51.0487         0     66.63     2.614   51.5192   72.6164         0         0   
    1.594      6.02   52.8327         0     67.73     3.001   53.4698   75.4093         0         0   
    1.708     7.826    54.609         0     69.46     2.897   55.3518   78.1486         0         0   
    1.822     9.023   56.2645         0     72.15     2.772   57.2681   80.7882         0         0   
    1.936     9.767   57.7028         0     74.37     2.782   59.0236   83.1191         0         0   
     2.05     10.29   58.6346         0     76.62     2.698   60.7289   85.0406         0         0   
    2.164     10.85   58.7814         0     78.99     3.035   62.3581     86.38         0         0   
    2.278      11.5   58.3436         0     81.48     3.381   63.9491   87.3253         0         0   
    2.392     11.95   57.9716         0     84.67     3.858   65.5562    88.324         0         0   
    2.505     12.08   58.1728         0     87.62     4.263   67.0977    89.622         0         0   
    2.619     12.01   58.8302         0     90.35     4.127   68.6274   91.1864         0         0   
    2.733     11.59    59.169         0     92.93     3.528   70.0797   92.4471         0         0   
    2.847     11.24   58.8395         0     94.93     3.356   71.5443   93.3114         0         0   
    2.961     11.99   58.5657         0     96.82     3.431   72.9405   94.3081         0         0   
    3.075     14.25   58.3585         0     98.94     3.402   74.3121   95.5566         0         0   
    3.189     16.99   58.9478         0     101.1     3.516   75.6938   97.4323         0         0   
    3.303     19.33   59.4798         0     103.4     3.724   77.0176    99.213         0         0   
    3.417     21.28   59.7085         0     105.6     3.722   78.3729   100.798         0         0   
     3.53     22.34   59.3818         0     107.6     3.735   79.6423   101.824         0         0   
    3.644     22.68   58.8063         0     109.5     3.808   80.9029   102.557         0         0   
    3.758     23.18    58.142         0     110.5      3.67   82.1715   103.295         0         0   
    3.872     24.26   57.7147         0     111.7     3.572   83.3949    104.28         0         0   
    3.986     25.52   57.2333         0     113.3     3.325   84.6431   105.316         0         0   
      4.1     26.37    56.737         0     114.9     3.373   85.8146   106.201         0         0   
    4.214     26.85   56.2352         0     115.9     3.582   87.0044   107.019         0         0   
    4.328     27.42   55.6393         0     116.6     3.921   88.1837   107.814         0         0   
    4.441     28.22   55.0947         0     117.3     4.176   89.3169   108.671         0         0   
    4.555     28.88   54.7017         0     117.9     4.435   90.4655   109.592         0         0   
    4.669     29.37   54.4076         0     117.6     4.951   91.5942   110.509         0         0   
