!# Results of ROTMAS saved at 12-Oct-2007 (16:23:50)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 49.5519
!# Red. Chi-square (N=41,n=3) : 1.303997
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     0.077935  3216.500000     0.329596     1.000000 
!# Parameter error :   164.189301 656307.875000     0.337829     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1139   -0.7374    8.8996         0      18.2     2.821   17.4289   19.5557         0         0   
   0.2278    0.8858   14.4842         0     29.11     2.346   24.6487   28.6031         0         0   
   0.3417     2.077   17.0215         0        38      2.68   30.1884   34.7186         0         0   
   0.4555     1.452   19.1342         0     46.19     2.261   34.8547   39.7878         0         0   
   0.5694     1.051   21.8587         0      50.3     2.172   38.9695   44.6937         0         0   
   0.6833     1.204   23.6614         0     52.95     2.304   42.6895   48.8232         0         0   
   0.7972    0.7131   25.0328         0     55.28     2.099   46.1103    52.472         0         0   
   0.9111    0.4738   26.5007         0     57.42     2.093   49.2944   55.9683         0         0   
    1.025    0.8499   27.5722         0     59.77     1.904   52.2848   59.1156         0         0   
    1.139    -0.874   28.0358         0     61.65     2.062   55.1156   61.8302         0         0   
    1.253    0.7508   28.2639         0     63.17     2.212    57.808    64.352         0         0   
    1.367     1.489   28.5517         0     64.92     2.379   60.3804   66.8072         0         0   
     1.48     3.598   29.3073         0     66.63     2.614   62.8264   69.4191         0         0   
    1.594      6.02   30.3315         0     67.73     3.001   65.2011   72.1624         0         0   
    1.708     7.826   31.3513         0     69.46     2.897   67.4922   74.8288         0         0   
    1.822     9.023   32.3017         0     72.15     2.772   69.7081   77.3566         0         0   
    1.936     9.767   33.1274         0     74.37     2.782   71.8557   79.7249         0         0   
     2.05     10.29   33.6624         0     76.62     2.698   73.9409    81.892         0         0   
    2.164     10.85   33.7467         0     78.99     3.035   75.9689   83.8322         0         0   
    2.278      11.5   33.4953         0     81.48     3.381   77.9442   85.6124         0         0   
    2.392     11.95   33.2818         0     84.67     3.858   79.8706   87.3486         0         0   
    2.505     12.08   33.3973         0     87.62     4.263   81.7353   89.1177         0         0   
    2.619     12.01   33.7747         0     90.35     4.127   83.5743   90.9375         0         0   
    2.733     11.59   33.9692         0     92.93     3.528   85.3737   92.6116         0         0   
    2.847     11.24     33.78         0     94.93     3.356    87.136   94.1281         0         0   
    2.961     11.99   33.6228         0     96.82     3.431   88.8633    95.765         0         0   
    3.075     14.25   33.5039         0     98.94     3.402   90.5577   97.6026         0         0   
    3.189     16.99   33.8422         0     101.1     3.516   92.2209   99.6928         0         0   
    3.303     19.33   34.1476         0     103.4     3.724   93.8546   101.727         0         0   
    3.417     21.28   34.2789         0     105.6     3.722   95.4604   103.637         0         0   
     3.53     22.34   34.0914         0     107.6     3.735   97.0259   105.239         0         0   
    3.644     22.68    33.761         0     109.5     3.808     98.58   106.641         0         0   
    3.758     23.18   33.3796         0     110.5      3.67    100.11   108.044         0         0   
    3.872     24.26   33.1343         0     111.7     3.572   101.617   109.601         0         0   
    3.986     25.52   32.8579         0     113.3     3.325   103.102    111.18         0         0   
      4.1     26.37    32.573         0     114.9     3.373   104.566   112.651         0         0   
    4.214     26.85   32.2849         0     115.9     3.582   106.009   114.023         0         0   
    4.328     27.42   31.9428         0     116.6     3.921   107.433   115.387         0         0   
    4.441     28.22   31.6301         0     117.3     4.176   108.827   116.791         0         0   
    4.555     28.88   31.4045         0     117.9     4.435   110.215   118.184         0         0   
    4.669     29.37   31.2357         0     117.6     4.951   111.585   119.539         0         0   
